partID,measure,movement,leg,result_n,result_bw
A01,VertPeak,Drop,Precision,939.471344,1.3655106744186047
A01,VertPeak,Drop,Running,1896.315826,2.7562730029069766
A01,VertPeak,Step,Precision,1349.091133,1.9608882747093022
A01,VertPeak,Step,Running,1489.147171,2.164458097383721
A01,VertPeak,Dash,Precision,1399.0681765,2.0335293263081393
A01,VertPeak,Dash,Running,1990.553017,2.893245664244186
A01,VertPeak,Kong,Precision,1674.3005065,2.4335763175872094
A01,VertPeak,Kong,Running,2294.21962,3.334621540697674
A01,HorzPeak,Drop,Precision,264.088852,0.38385007558139533
A01,HorzPeak,Drop,Running,385.683762,0.5605868633720931
A01,HorzPeak,Step,Precision,327.1145935,0.4754572579941861
A01,HorzPeak,Step,Running,311.861191,0.4532866148255814
A01,HorzPeak,Dash,Precision,270.7727585,0.39356505595930236
A01,HorzPeak,Dash,Running,213.575081,0.3104288968023256
A01,HorzPeak,Kong,Precision,451.991974,0.6569650784883722
A01,HorzPeak,Kong,Running,614.133057,0.8926352572674419
A02,VertPeak,Drop,Precision,1100.3246535,1.8586565092905407
A02,VertPeak,Drop,Running,1800.065125,3.040650548986487
A02,VertPeak,Step,Precision,1351.629135,2.283157322635135
A02,VertPeak,Step,Running,2008.805016,3.3932517162162164
A02,VertPeak,Dash,Precision,1142.4652405,1.9298399332770269
A02,VertPeak,Dash,Running,1331.825283,2.2497048699324322
A02,VertPeak,Kong,Precision,1593.057205,2.690975008445946
A02,VertPeak,Kong,Running,1912.534271,3.230632214527027
A02,HorzPeak,Drop,Precision,254.475876,0.42985789864864865
A02,HorzPeak,Drop,Running,277.668045,0.4690338597972973
A02,HorzPeak,Step,Precision,333.150131,0.5627535996621621
A02,HorzPeak,Step,Running,352.893867,0.5961045050675675
A02,HorzPeak,Dash,Precision,208.7211305,0.35256947719594595
A02,HorzPeak,Dash,Running,130.002636,0.2195990472972973
A02,HorzPeak,Kong,Precision,410.801132,0.693920831081081
A02,HorzPeak,Kong,Running,479.257675,0.809556883445946
A03,VertPeak,Drop,Precision,992.6029665,1.4364731787264833
A03,VertPeak,Drop,Running,2253.881622,3.2617679044862515
A03,VertPeak,Step,Precision,934.5660325,1.352483404486252
A03,VertPeak,Step,Running,1627.492479,2.3552713154848046
A03,VertPeak,Dash,Precision,958.153206,1.3866182431259044
A03,VertPeak,Dash,Running,2092.4888,3.0282037626628076
A03,VertPeak,Kong,Precision,1170.2032165,1.6934923538350217
A03,VertPeak,Kong,Running,3001.390869,4.343546843704775
A03,HorzPeak,Drop,Precision,202.180893,0.29259174095513746
A03,HorzPeak,Drop,Running,338.971954,0.4905527554269175
A03,HorzPeak,Step,Precision,233.9854585,0.3386186085383502
A03,HorzPeak,Step,Running,195.85965,0.2834437771345875
A03,HorzPeak,Dash,Precision,205.824013,0.297863984081042
A03,HorzPeak,Dash,Running,192.543436,0.2786446251808973
A03,HorzPeak,Kong,Precision,302.8632505,0.4382970340086831
A03,HorzPeak,Kong,Running,593.533417,0.858948505065123
A04,VertPeak,Drop,Precision,1118.5029145,1.5321957732876714
A04,VertPeak,Drop,Running,2184.316803,2.9922147986301373
A04,VertPeak,Step,Precision,1067.5370025,1.462379455479452
A04,VertPeak,Step,Running,1789.20186,2.4509614520547944
A04,VertPeak,Dash,Precision,1083.805359,1.4846648753424656
A04,VertPeak,Dash,Running,1608.782379,2.2038114780821916
A04,VertPeak,Kong,Precision,1277.5769045,1.750105348630137
A04,VertPeak,Kong,Running,2302.494995,3.154102732876712
A04,HorzPeak,Drop,Precision,215.8344955,0.2956636924657534
A04,HorzPeak,Drop,Running,114.653889,0.15706012191780822
A04,HorzPeak,Step,Precision,285.727211,0.3914071383561644
A04,HorzPeak,Step,Running,233.590179,0.3199865465753425
A04,HorzPeak,Dash,Precision,303.800186,0.41616463835616435
A04,HorzPeak,Dash,Running,106.259289,0.1455606698630137
A04,HorzPeak,Kong,Precision,380.263504,0.5209089095890411
A04,HorzPeak,Kong,Running,489.829224,0.6709989369863014
A05,VertPeak,Drop,Precision,1457.5842895,2.3026608048973145
A05,VertPeak,Drop,Running,2593.200867,4.096683834123223
A05,VertPeak,Step,Precision,1193.157486,1.8849249383886257
A05,VertPeak,Step,Running,1707.849817,2.6980249873617694
A05,VertPeak,Dash,Precision,1021.218277,1.6132990157977882
A05,VertPeak,Dash,Running,1215.090444,1.9195741611374406
A05,VertPeak,Kong,Precision,1707.806137,2.697955982622433
A05,VertPeak,Kong,Running,4132.329254,6.528166278041074
A05,HorzPeak,Drop,Precision,419.6815645,0.6630040513428119
A05,HorzPeak,Drop,Running,619.529327,0.9787193159557661
A05,HorzPeak,Step,Precision,332.274002,0.5249194344391785
A05,HorzPeak,Step,Running,256.005589,0.4044322101105845
A05,HorzPeak,Dash,Precision,243.1158525,0.38406927725118484
A05,HorzPeak,Dash,Running,192.471268,0.30406203475513427
A05,HorzPeak,Kong,Precision,458.368561,0.7241209494470774
A05,HorzPeak,Kong,Running,568.193138,0.8976194913112164
A06,VertPeak,Drop,Precision,1499.2010195,1.7784116482799526
A06,VertPeak,Drop,Running,3024.870361,3.588221068801898
A06,VertPeak,Step,Precision,1642.965088,1.9489502823250295
A06,VertPeak,Step,Running,2637.928177,3.1292149193357055
A06,VertPeak,Dash,Precision,1616.5721435,1.9176419258600237
A06,VertPeak,Dash,Running,1623.056824,1.9253343107947805
A06,VertPeak,Kong,Precision,2190.8634035,2.598888972123369
A06,VertPeak,Kong,Running,3467.59314,4.113396370106761
A06,HorzPeak,Drop,Precision,267.5560915,0.31738563641755635
A06,HorzPeak,Drop,Running,214.702118,0.25468815895610913
A06,HorzPeak,Step,Precision,325.7677535,0.38643861625148285
A06,HorzPeak,Step,Running,303.859665,0.36045037366548044
A06,HorzPeak,Dash,Precision,262.1038665,0.31091799110320284
A06,HorzPeak,Dash,Running,94.528108,0.11213298695136419
A06,HorzPeak,Kong,Precision,564.8795015,0.6700824454329773
A06,HorzPeak,Kong,Running,413.398193,0.490389315539739
A07,VertPeak,Drop,Precision,905.9890595,1.1396088798742139
A07,VertPeak,Drop,Running,2489.870575,3.1319126729559748
A07,VertPeak,Step,Precision,817.357361,1.0281224666666666
A07,VertPeak,Step,Running,1934.795685,2.4337052641509436
A07,VertPeak,Dash,Precision,1049.582329,1.320229344654088
A07,VertPeak,Dash,Running,1878.208862,2.3625268704402513
A07,VertPeak,Kong,Precision,1186.8572695,1.4929022257861635
A07,VertPeak,Kong,Running,2367.119781,2.977509158490566
A07,HorzPeak,Drop,Precision,196.993431,0.247790479245283
A07,HorzPeak,Drop,Running,153.169609,0.1926661748427673
A07,HorzPeak,Step,Precision,198.0567095,0.24912793647798742
A07,HorzPeak,Step,Running,99.094967,0.1246477572327044
A07,HorzPeak,Dash,Precision,224.142761,0.28194057987421384
A07,HorzPeak,Dash,Running,55.208694,0.06944489811320755
A07,HorzPeak,Kong,Precision,332.581024,0.41834091069182394
A07,HorzPeak,Kong,Running,369.071121,0.4642404037735849
B08,VertPeak,Drop,Precision,968.2770235,1.2133797286967418
B08,VertPeak,Drop,Running,2529.158203,3.1693711817042605
B08,VertPeak,Step,Precision,863.8252105,1.0824877324561404
B08,VertPeak,Step,Running,1509.824707,1.892010911027569
B08,VertPeak,Dash,Precision,916.040573,1.1479205175438596
B08,VertPeak,Dash,Running,1720.945709,2.1565735701754387
B08,VertPeak,Kong,Precision,1198.809845,1.5022679761904763
B08,VertPeak,Kong,Running,2969.113403,3.7206934874686715
B08,HorzPeak,Drop,Precision,161.157585,0.20195186090225564
B08,HorzPeak,Drop,Running,84.941587,0.10644309147869674
B08,HorzPeak,Step,Precision,186.860306,0.2341607844611529
B08,HorzPeak,Step,Running,101.617445,0.127340156641604
B08,HorzPeak,Dash,Precision,207.4001925,0.25989999060150376
B08,HorzPeak,Dash,Running,67.355274,0.08440510526315789
B08,HorzPeak,Kong,Precision,340.453186,0.4266330651629073
B08,HorzPeak,Kong,Running,405.694885,0.5083895802005013
B09,VertPeak,Drop,Precision,1195.55719,1.477821001236094
B09,VertPeak,Drop,Running,2405.303238,2.973180763906057
B09,VertPeak,Step,Precision,1044.085602,1.2905878887515452
B09,VertPeak,Step,Running,2077.883453,2.568459150803461
B09,VertPeak,Dash,Precision,995.257065,1.2302312299134734
B09,VertPeak,Dash,Running,1874.871277,2.3175170296662544
B09,VertPeak,Kong,Precision,1675.677368,2.0712946452410383
B09,VertPeak,Kong,Running,2189.038086,2.705856719406675
B09,HorzPeak,Drop,Precision,339.590439,0.4197656847960445
B09,HorzPeak,Drop,Running,337.320618,0.4169599728059333
B09,HorzPeak,Step,Precision,233.077057,0.2881051384425216
B09,HorzPeak,Step,Running,212.026093,0.2620841693448702
B09,HorzPeak,Dash,Precision,277.032242,0.3424378763906057
B09,HorzPeak,Dash,Running,193.751633,0.23949522002472187
B09,HorzPeak,Kong,Precision,467.5900575,0.5779852379480841
B09,HorzPeak,Kong,Running,393.713379,0.4866667231149567
C10,VertPeak,Drop,Precision,1102.605644,1.5662011988636364
C10,VertPeak,Drop,Running,2188.563157,3.108754484375
C10,VertPeak,Step,Precision,1135.1620905,1.612446151278409
C10,VertPeak,Step,Running,2712.551181,3.853055654829545
C10,VertPeak,Dash,Precision,919.4877355,1.3060905333806818
C10,VertPeak,Dash,Running,1752.365127,2.489155009943182
C10,VertPeak,Kong,Precision,1650.0791395,2.3438624140625
C10,VertPeak,Kong,Running,2805.177452,3.9846270625
C10,HorzPeak,Drop,Precision,214.978729,0.3053675127840909
C10,HorzPeak,Drop,Running,394.464325,0.5603186434659091
C10,HorzPeak,Step,Precision,207.4913405,0.2947320177556818
C10,HorzPeak,Step,Running,189.587936,0.2693010454545455
C10,HorzPeak,Dash,Precision,169.4444505,0.2406881399147727
C10,HorzPeak,Dash,Running,39.845761,0.05659909232954546
C10,HorzPeak,Kong,Precision,386.3438875,0.5487839311079545
C10,HorzPeak,Kong,Running,440.606689,0.6258617741477273
