partID,age,gender,height,boxRatio,weight,weightKg,yearsTraining,preferredFoot,result_n_VertPeak_Drop_Precision,result_n_VertPeak_Drop_Running,result_n_VertPeak_Step_Precision,result_n_VertPeak_Step_Running,result_n_VertPeak_Dash_Precision,result_n_VertPeak_Dash_Running,result_n_VertPeak_Kong_Precision,result_n_VertPeak_Kong_Running,result_n_HorzPeak_Drop_Precision,result_n_HorzPeak_Drop_Running,result_n_HorzPeak_Step_Precision,result_n_HorzPeak_Step_Running,result_n_HorzPeak_Dash_Precision,result_n_HorzPeak_Dash_Running,result_n_HorzPeak_Kong_Precision,result_n_HorzPeak_Kong_Running,result_bw_VertPeak_Drop_Precision,result_bw_VertPeak_Drop_Running,result_bw_VertPeak_Step_Precision,result_bw_VertPeak_Step_Running,result_bw_VertPeak_Dash_Precision,result_bw_VertPeak_Dash_Running,result_bw_VertPeak_Kong_Precision,result_bw_VertPeak_Kong_Running,result_bw_HorzPeak_Drop_Precision,result_bw_HorzPeak_Drop_Running,result_bw_HorzPeak_Step_Precision,result_bw_HorzPeak_Step_Running,result_bw_HorzPeak_Dash_Precision,result_bw_HorzPeak_Dash_Running,result_bw_HorzPeak_Kong_Precision,result_bw_HorzPeak_Kong_Running
A01,28,Male,169.1,0.57,688,70.1,10,Left,939.471344,1896.315826,1349.091133,1489.147171,1399.0681765,1990.553017,1674.3005065,2294.21962,264.088852,385.683762,327.1145935,311.861191,270.7727585,213.575081,451.991974,614.133057,1.3655106744186047,2.7562730029069766,1.9608882747093022,2.164458097383721,2.0335293263081393,2.893245664244186,2.4335763175872094,3.334621540697674,0.38385007558139533,0.5605868633720931,0.4754572579941861,0.4532866148255814,0.39356505595930236,0.3104288968023256,0.6569650784883722,0.8926352572674419
A02,32,Female,160.2,0.6,592,60.3,7,Right,1100.3246535,1800.065125,1351.629135,2008.805016,1142.4652405,1331.825283,1593.057205,1912.534271,254.475876,277.668045,333.150131,352.893867,208.7211305,130.002636,410.801132,479.257675,1.8586565092905407,3.040650548986487,2.283157322635135,3.3932517162162164,1.9298399332770269,2.2497048699324322,2.690975008445946,3.230632214527027,0.42985789864864865,0.4690338597972973,0.5627535996621621,0.5961045050675675,0.35256947719594595,0.2195990472972973,0.693920831081081,0.809556883445946
A03,40,Male,167,0.57,691,70.4,15,Left,992.6029665,2253.881622,934.5660325,1627.492479,958.153206,2092.4888,1170.2032165,3001.390869,202.180893,338.971954,233.9854585,195.85965,205.824013,192.543436,302.8632505,593.533417,1.4364731787264833,3.2617679044862515,1.352483404486252,2.3552713154848046,1.3866182431259044,3.0282037626628076,1.6934923538350217,4.343546843704775,0.29259174095513746,0.4905527554269175,0.3386186085383502,0.2834437771345875,0.297863984081042,0.2786446251808973,0.4382970340086831,0.858948505065123
A04,25,Male,175.9,0.55,730,74.4,7,Right,1118.5029145,2184.316803,1067.5370025,1789.20186,1083.805359,1608.782379,1277.5769045,2302.494995,215.8344955,114.653889,285.727211,233.590179,303.800186,106.259289,380.263504,489.829224,1.5321957732876714,2.9922147986301373,1.462379455479452,2.4509614520547944,1.4846648753424656,2.2038114780821916,1.750105348630137,3.154102732876712,0.2956636924657534,0.15706012191780822,0.3914071383561644,0.3199865465753425,0.41616463835616435,0.1455606698630137,0.5209089095890411,0.6709989369863014
A05,24,Female,165.9,0.58,633,64.5,8,Right,1457.5842895,2593.200867,1193.157486,1707.849817,1021.218277,1215.090444,1707.806137,4132.329254,419.6815645,619.529327,332.274002,256.005589,243.1158525,192.471268,458.368561,568.193138,2.3026608048973145,4.096683834123223,1.8849249383886257,2.6980249873617694,1.6132990157977882,1.9195741611374406,2.697955982622433,6.528166278041074,0.6630040513428119,0.9787193159557661,0.5249194344391785,0.4044322101105845,0.38406927725118484,0.30406203475513427,0.7241209494470774,0.8976194913112164
A06,41,Male,175.9,0.55,843,85.9,11,Left,1499.2010195,3024.870361,1642.965088,2637.928177,1616.5721435,1623.056824,2190.8634035,3467.59314,267.5560915,214.702118,325.7677535,303.859665,262.1038665,94.528108,564.8795015,413.398193,1.7784116482799526,3.588221068801898,1.9489502823250295,3.1292149193357055,1.9176419258600237,1.9253343107947805,2.598888972123369,4.113396370106761,0.31738563641755635,0.25468815895610913,0.38643861625148285,0.36045037366548044,0.31091799110320284,0.11213298695136419,0.6700824454329773,0.490389315539739
A07,35,Male,181.9,0.53,795,81,16,Left,905.9890595,2489.870575,817.357361,1934.795685,1049.582329,1878.208862,1186.8572695,2367.119781,196.993431,153.169609,198.0567095,99.094967,224.142761,55.208694,332.581024,369.071121,1.1396088798742139,3.1319126729559748,1.0281224666666666,2.4337052641509436,1.320229344654088,2.3625268704402513,1.4929022257861635,2.977509158490566,0.247790479245283,0.1926661748427673,0.24912793647798742,0.1246477572327044,0.28194057987421384,0.06944489811320755,0.41834091069182394,0.4642404037735849
B08,21,Male,186.4,0.52,798,81.3,5,Right,968.2770235,2529.158203,863.8252105,1509.824707,916.040573,1720.945709,1198.809845,2969.113403,161.157585,84.941587,186.860306,101.617445,207.4001925,67.355274,340.453186,405.694885,1.2133797286967418,3.1693711817042605,1.0824877324561404,1.892010911027569,1.1479205175438596,2.1565735701754387,1.5022679761904763,3.7206934874686715,0.20195186090225564,0.10644309147869674,0.2341607844611529,0.127340156641604,0.25989999060150376,0.08440510526315789,0.4266330651629073,0.5083895802005013
B09,24,Male,177.8,0.54,809,82.5,7,Left,1195.55719,2405.303238,1044.085602,2077.883453,995.257065,1874.871277,1675.677368,2189.038086,339.590439,337.320618,233.077057,212.026093,277.032242,193.751633,467.5900575,393.713379,1.477821001236094,2.973180763906057,1.2905878887515452,2.568459150803461,1.2302312299134734,2.3175170296662544,2.0712946452410383,2.705856719406675,0.4197656847960445,0.4169599728059333,0.2881051384425216,0.2620841693448702,0.3424378763906057,0.23949522002472187,0.5779852379480841,0.4866667231149567
C10,24,Male,178,0.54,704,71.8,11,Left,1102.605644,2188.563157,1135.1620905,2712.551181,919.4877355,1752.365127,1650.0791395,2805.177452,214.978729,394.464325,207.4913405,189.587936,169.4444505,39.845761,386.3438875,440.606689,1.5662011988636364,3.108754484375,1.612446151278409,3.853055654829545,1.3060905333806818,2.489155009943182,2.3438624140625,3.9846270625,0.3053675127840909,0.5603186434659091,0.2947320177556818,0.2693010454545455,0.2406881399147727,0.05659909232954546,0.5487839311079545,0.6258617741477273
