BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	384	384
Contact period end (sample #):	7897	7897
Contact period start time (s):	0.384000	0.384000
Contact period end time (s):	7.897000	7.897000
First sample time (s):	0.000000	0.000000
Normalized force (N):	592.005981	592.005981
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.132717	0.902667
0.001000	0.444527	3.652124
0.002000	-0.256628	-5.280116
0.003000	0.677967	6.057509
0.004000	-0.334999	-4.246768
0.005000	0.055182	-2.877828
0.006000	0.444527	1.248682
0.007000	-0.101559	-2.527190
0.008000	0.055182	-1.840599
0.009000	0.055182	-2.186603
0.010000	0.444527	4.688961
0.011000	0.056018	-2.531834
0.012000	0.211087	-1.158261
0.013000	0.055182	-0.812267
0.014000	0.133553	-0.470896
0.015000	-0.179094	-3.218807
0.016000	-0.022352	-4.247531
0.017000	0.288622	2.968620
0.018000	-0.256628	-6.653689
0.019000	-0.334999	-4.938756
0.020000	0.677967	6.740229
0.021000	0.133553	-1.849877
0.022000	-0.256628	-3.555151
0.023000	0.289458	-0.471288
0.024000	0.211087	-0.124902
0.025000	0.756338	3.650196
0.026000	-0.411697	-6.649437
0.027000	0.599596	6.063298
0.028000	-0.411697	-7.682414
0.029000	0.289458	0.216076
0.030000	0.133553	-0.475530
0.031000	0.056018	-3.906552
0.032000	0.522898	3.314243
0.033000	-0.022352	-3.219199
0.034000	0.444527	3.660629
0.035000	-0.724344	-10.429943
0.036000	0.289458	2.627260
0.037000	0.366993	2.968620
0.038000	-0.490068	-8.028026
0.039000	0.288622	2.277396
0.040000	0.133553	-0.129536
0.041000	-0.256628	-4.256036
0.042000	0.055182	-3.560548
0.043000	-0.179094	-2.531834
0.044000	0.210251	2.627642
0.045000	0.056018	-3.560548
0.046000	-0.646810	-4.587747
0.047000	0.211087	0.216076
0.048000	-0.256628	-2.186211
0.049000	-0.101559	-1.844851
0.050000	-0.022352	-1.849877
0.051000	0.211087	0.211442
0.052000	-0.334999	-5.616852
0.053000	0.990614	7.772825
0.054000	0.133553	-1.153627
0.055000	-0.257465	-3.564811
0.056000	0.677967	4.001216
0.057000	-0.101559	-2.185830
0.058000	0.055182	-0.811875
0.059000	-0.099887	-3.906552
0.060000	0.289458	2.960115
0.061000	-0.179094	-4.247531
0.062000	0.289458	-0.817282
0.063000	0.444527	5.034574
0.064000	-0.022352	-4.247531
0.065000	-0.568439	-4.246768
0.066000	0.211087	-0.471288
0.067000	0.055182	-0.811875
0.068000	0.211087	0.557055
0.069000	0.056018	-2.191237
0.070000	0.677967	7.086233
0.071000	-0.490068	-7.686666
0.072000	0.055182	-1.840218
0.073000	0.288622	2.277396
0.074000	0.055182	-3.560940
0.075000	0.990614	7.095130
0.076000	0.132717	0.566725
0.077000	0.444527	3.660629
0.078000	0.133553	-1.503873
0.079000	0.133553	-0.817282
0.080000	0.990614	8.119210
0.081000	0.367829	-0.471278
0.082000	0.755501	5.711897
0.083000	0.444527	3.314243
0.084000	0.133553	-1.499239
0.085000	-0.335835	-6.308077
0.086000	0.677131	3.655603
0.087000	0.522898	3.655603
0.088000	0.211087	-1.162513
0.089000	0.445363	4.001216
0.090000	0.444527	2.277014
0.091000	-0.256628	-4.602040
0.092000	0.444527	1.936036
0.093000	0.132717	-0.125284
0.094000	0.210251	-0.812256
0.095000	0.055182	-2.536850
0.096000	0.288622	3.656366
0.097000	0.211087	0.557055
0.098000	0.211087	-2.190856
0.099000	0.677967	7.086233
0.100000	0.522898	1.244027
0.101000	0.444527	3.655603
0.102000	-0.101559	-5.625728
0.103000	0.599596	3.655603
0.104000	0.211087	-1.153616
0.105000	0.444527	-0.129918
0.106000	0.677967	5.716912
0.107000	0.211087	-2.873194
0.108000	0.288622	0.557055
0.109000	0.522898	3.655603
0.110000	0.055182	-1.162513
0.111000	0.366993	2.276612
0.112000	0.445363	1.248682
0.113000	0.677967	5.371300
0.114000	-0.257465	-5.280116
0.115000	-0.568439	-6.994668
0.116000	1.068148	9.838788
0.117000	-0.179094	-5.626120
0.118000	0.444527	3.655603
0.119000	0.288622	1.244027
0.120000	0.366993	2.618374
0.121000	0.288622	-0.812256
0.122000	0.133553	-2.532216
0.123000	0.911407	7.777469
0.124000	0.055182	-3.906552
0.125000	0.677967	3.314243
0.126000	0.210251	1.595057
0.127000	-0.101559	-3.901527
0.128000	0.288622	1.249063
0.129000	0.288622	0.557055
0.130000	0.522898	5.711897
0.131000	0.289458	-0.817282
0.132000	0.522898	3.655603
0.133000	0.287786	0.902667
0.134000	0.211087	-3.214544
0.135000	0.287786	0.557436
0.136000	0.599596	4.338323
0.137000	-0.024025	-1.158261
0.138000	0.055182	-2.877828
0.139000	0.445363	3.314625
0.140000	0.288622	1.936036
0.141000	0.289458	-1.844851
0.142000	1.224054	9.493176
0.143000	0.288622	-0.125284
0.144000	0.366156	2.286282
0.145000	-0.646810	-6.995049
