BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	3139	3139
Contact period end (sample #):	7999	7999
Contact period start time (s):	3.139000	3.139000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	690.997009	690.997009
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.014587	-0.731756
0.001000	-0.092121	-3.134435
0.002000	0.609034	6.829626
0.003000	-0.326398	-2.442045
0.004000	-0.092121	-1.068090
0.005000	0.686569	7.521635
0.006000	-0.326398	-4.508390
0.007000	0.141318	2.366020
0.008000	0.297224	3.740356
0.009000	-0.559837	-5.536723
0.010000	0.141318	2.021170
0.011000	-0.170492	-0.722869
0.012000	-0.326398	-3.816773
0.013000	0.062948	1.001724
0.014000	-0.092121	-1.414094
0.015000	-0.481466	-2.096433
0.016000	0.063784	0.651859
0.017000	-0.248863	-3.129017
0.018000	-0.014587	-0.035505
0.019000	-0.014587	-0.040531
0.020000	-0.404768	-4.503364
0.021000	0.141318	0.651467
0.022000	0.063784	1.338450
0.023000	-0.249699	-1.755073
0.024000	-0.014587	-0.381107
0.025000	-0.248027	-1.755073
0.026000	0.141318	1.338450
0.027000	-0.481466	-6.910296
0.028000	-0.092958	-0.376484
0.029000	-0.092121	-0.381509
0.030000	-0.170492	-1.759706
0.031000	-0.014587	1.680192
0.032000	-0.170492	-3.134054
0.033000	-0.170492	-3.475414
0.034000	0.141318	3.745763
0.035000	-0.326398	-4.162004
0.036000	-0.248027	-1.068090
0.037000	-0.092958	-0.035505
0.038000	-0.248027	-5.195744
0.039000	0.141318	3.745763
0.040000	-0.248027	-2.442045
0.041000	-0.481466	-4.849369
0.042000	0.452293	5.802057
0.043000	-0.559837	-7.251656
0.044000	-0.248027	-4.162004
0.045000	0.062948	3.399759
0.046000	-0.326398	-5.882727
0.047000	-0.092958	-0.035505
0.048000	0.218853	3.399759
0.049000	-0.326398	-5.532089
0.050000	-0.092121	1.342703
0.051000	-0.170492	-1.755073
0.052000	-0.637372	-5.877701
0.053000	0.452293	6.488648
0.054000	-0.170492	-1.414094
0.055000	0.062948	0.656112
0.056000	0.218853	3.399759
0.057000	-0.637372	-6.569318
0.058000	0.062948	2.366412
0.059000	0.062948	0.997090
0.060000	-0.403096	-5.882727
0.061000	-0.014587	1.338450
0.062000	0.141318	0.305474
0.063000	-0.326398	-4.854003
0.064000	-0.092121	-1.755454
0.065000	-0.014587	0.301613
0.066000	0.062948	-0.039747
0.067000	-0.170492	-1.755073
0.068000	-0.092121	-1.072734
0.069000	-0.092958	-0.035505
0.070000	-0.092121	-2.101066
0.071000	-0.248863	-2.100685
0.072000	-0.014587	0.310499
0.073000	-0.014587	0.305855
0.074000	-0.014587	0.651467
0.075000	-0.559837	-6.910296
0.076000	-0.092121	-1.409068
0.077000	-0.170492	-3.475414
0.078000	-0.481466	-4.508009
0.079000	-0.014587	1.338058
0.080000	-0.092958	-1.068090
0.081000	-0.248027	-3.134054
0.082000	0.141318	2.708142
0.083000	-0.248027	-3.821026
0.084000	-0.403096	-4.854003
0.085000	-0.014587	2.367174
0.086000	-0.170492	-4.162004
0.087000	-0.170492	-1.414094
0.088000	0.140482	5.115085
0.089000	-0.248027	-4.854003
0.090000	0.063784	2.708142
0.091000	-0.248027	-2.100685
0.092000	-0.403096	-4.162004
0.093000	0.218853	5.797031
0.094000	-0.481466	-4.849369
0.095000	-0.871648	-8.288885
0.096000	0.297224	4.769080
0.097000	-0.326398	-5.536723
0.098000	-0.326398	-3.816392
0.099000	0.141318	3.735712
0.100000	-0.481466	-6.223705
0.101000	0.062948	0.310499
0.102000	-0.170492	-1.759706
0.103000	-0.481466	-6.569318
0.104000	0.297224	4.427720
0.105000	0.063784	0.310499
0.106000	-0.170492	-0.030479
0.107000	0.062948	1.684063
0.108000	-0.092958	-3.134054
0.109000	-0.092121	-1.755073
0.110000	-0.014587	0.310107
0.111000	-0.404768	-6.223313
0.112000	0.141318	2.712024
0.113000	-0.013751	0.992838
0.114000	-0.092121	-1.760088
0.115000	-0.404768	-3.134054
0.116000	-0.092121	-1.068090
0.117000	-0.248863	-1.414094
0.118000	0.141318	-1.414094
0.119000	-0.092121	-0.727111
0.120000	-0.170492	-0.726730
0.121000	-0.170492	-3.475414
0.122000	-0.014587	2.021170
0.123000	-0.014587	-0.376865
0.124000	0.063784	0.310499
0.125000	-0.092958	0.651467
0.126000	-0.248027	-2.783405
0.127000	-0.170492	-2.106103
0.128000	-0.014587	0.305474
0.129000	-0.248027	-5.190347
0.130000	-0.014587	2.021170
0.131000	-0.092121	-0.376865
0.132000	-0.403096	-4.508390
0.133000	0.218853	3.741511
0.134000	-0.092121	-4.849369
0.135000	-0.326398	-4.849369
0.136000	0.373922	5.114693
0.137000	-0.014587	-2.788823
0.138000	0.219689	2.366020
0.139000	0.297224	4.769080
0.140000	-0.092121	-2.447463
