BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2110	2110
Contact period end (sample #):	7904	7904
Contact period start time (s):	2.110000	2.110000
Contact period end time (s):	7.904000	7.904000
First sample time (s):	0.000000	0.000000
Normalized force (N):	690.997009	690.997009
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.097419	-0.987700
0.001000	-0.409229	-3.740636
0.002000	0.058487	2.447564
0.003000	-0.409229	-3.736003
0.004000	-0.409229	-3.740636
0.005000	0.291926	4.162106
0.006000	-0.330858	-4.086641
0.007000	-0.330858	-3.048628
0.008000	0.136021	3.134536
0.009000	-0.252488	-2.708052
0.010000	0.058487	2.793176
0.011000	0.058487	1.764452
0.012000	-0.097419	-2.712686
0.013000	0.291926	4.849470
0.014000	-0.330858	-3.736003
0.015000	-0.409229	-4.768979
0.016000	0.213556	3.821508
0.017000	-0.486764	-5.792286
0.018000	-0.408393	-5.451699
0.019000	0.291926	4.513125
0.020000	-0.330858	-6.138671
0.021000	-0.019048	1.078253
0.022000	-0.019884	0.731857
0.023000	-0.330858	-5.114210
0.024000	0.214392	3.821138
0.025000	0.058487	0.044503
0.026000	-0.643505	-5.455570
0.027000	0.447832	5.541087
0.028000	0.058487	0.736501
0.029000	-0.019048	0.044503
0.030000	0.370297	5.194701
0.031000	-0.252488	-3.399658
0.032000	-0.019048	-0.296475
0.033000	-0.019048	0.731857
0.034000	-0.330858	-4.773613
0.035000	0.136021	4.503084
0.036000	0.058487	0.386244
0.037000	-0.097419	-2.361656
0.038000	0.214392	2.110456
0.039000	-0.019884	0.390889
0.040000	0.214392	2.110456
0.041000	0.214392	1.764844
0.042000	-0.019884	-0.987700
0.043000	0.058487	1.077480
0.044000	0.058487	1.077480
0.045000	-0.409229	-3.740636
0.046000	0.291926	4.162498
0.047000	0.291926	2.110456
0.048000	0.136021	0.731867
0.049000	-0.019884	-0.642480
0.050000	0.058487	0.731475
0.051000	0.136021	2.447172
0.052000	-0.330858	-4.077362
0.053000	0.058487	2.793176
0.054000	0.058487	1.077861
0.055000	-0.097419	-2.707268
0.056000	0.369461	5.536061
0.057000	-0.097419	-3.054045
0.058000	0.136021	0.731475
0.059000	0.291926	4.853722
0.060000	-0.019048	-0.296475
0.061000	0.136021	2.101560
0.062000	0.136021	2.106585
0.063000	0.214392	0.390507
0.064000	0.447832	6.227678
0.065000	-0.019884	-0.987700
0.066000	-0.330858	-4.082388
0.067000	0.602901	7.261046
0.068000	-0.330858	-4.081996
0.069000	-0.097419	-2.703015
0.070000	0.369461	6.569037
0.071000	-0.330858	-3.049009
0.072000	0.136857	1.769096
0.073000	0.136021	2.452198
0.074000	-0.019884	-1.675065
0.075000	0.213556	3.820746
0.076000	0.136021	1.077480
0.077000	-0.252488	-4.081996
0.078000	0.447832	6.569419
0.079000	-0.097419	-0.637835
0.080000	-0.019048	0.044503
0.081000	0.604573	8.634609
0.082000	-0.330858	-4.764716
0.083000	-0.175789	-0.987700
0.084000	0.291926	2.792413
0.085000	-0.330858	-5.110721
0.086000	0.213556	3.820746
0.087000	0.213556	2.792413
0.088000	-0.252488	-3.390771
0.089000	0.447832	4.166750
0.090000	0.136857	1.764452
0.091000	0.058487	1.082114
0.092000	0.370297	4.503084
0.093000	-0.330858	-3.394643
0.094000	0.058487	2.110456
0.095000	0.213556	2.110456
0.096000	-0.175789	-3.395024
0.097000	0.291926	3.475133
0.098000	0.136857	1.418448
0.099000	0.058487	1.077480
0.100000	-0.019884	0.044884
0.101000	0.058487	0.385863
0.102000	-0.019048	0.731867
0.103000	-0.486764	-5.114592
0.104000	0.136021	1.764452
0.105000	0.214392	2.110456
0.106000	0.058487	0.044884
0.107000	0.136021	2.447172
0.108000	0.136021	1.413433
0.109000	0.058487	-0.637835
0.110000	0.291926	4.849470
0.111000	-0.019884	-0.987700
0.112000	0.136857	3.129129
0.113000	0.370297	5.195474
0.114000	-0.019048	-3.395405
0.115000	0.370297	5.881673
0.116000	0.058487	-0.987700
0.117000	-0.019884	-2.016424
0.118000	0.369461	5.536061
0.119000	-0.097419	-3.395024
0.120000	-0.252488	-3.736384
0.121000	0.370297	4.508110
0.122000	-0.019048	-3.395024
0.123000	0.136857	1.418077
0.124000	0.447832	6.227678
0.125000	0.058487	-1.684735
0.126000	0.214392	3.475133
0.127000	0.213556	4.508110
0.128000	-0.175789	-4.081996
0.129000	0.447832	6.227678
0.130000	-0.175789	-2.020677
0.131000	-0.019048	0.044503
0.132000	0.604573	7.602024
0.133000	-0.330858	-4.428001
0.134000	-0.019048	-0.296475
0.135000	0.213556	4.166750
0.136000	-0.486764	-5.119617
0.137000	0.136021	2.792413
0.138000	0.291926	3.475133
0.139000	-0.330858	-4.768979
0.140000	0.291926	4.853722
0.141000	0.058487	-0.646722
0.142000	0.058487	0.731867
0.143000	0.838013	7.602024
0.144000	0.058487	0.736120
0.145000	0.370297	4.508110
