BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2173	2173
Contact period end (sample #):	7999	7999
Contact period start time (s):	2.173000	2.173000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	632.906006	632.906006
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.098918	0.995510
0.001000	-0.722540	-6.224883
0.002000	-0.020548	1.682493
0.003000	-0.176453	0.308538
0.004000	0.212892	4.089806
0.005000	-0.253987	-3.814091
0.006000	-0.333195	-0.378445
0.007000	0.134521	0.654542
0.008000	-0.722540	-8.281569
0.009000	0.134521	1.682874
0.010000	-0.098082	-0.373801
0.011000	-0.333195	-2.093750
0.012000	-0.410729	-2.780341
0.013000	-0.255660	0.303893
0.014000	-0.020548	0.308538
0.015000	-0.410729	-3.817570
0.016000	0.212892	4.776789
0.017000	-0.253987	-2.093368
0.018000	-0.253987	-1.752390
0.019000	-0.020548	-0.378435
0.020000	-0.488264	-2.439373
0.021000	-0.098918	1.341514
0.022000	-0.410729	-3.809065
0.023000	0.212892	4.776789
0.024000	-0.565798	-6.561228
0.025000	-0.331522	-2.785366
0.026000	0.212892	5.122401
0.027000	-0.565798	-6.219868
0.028000	0.134521	2.028889
0.029000	0.134521	0.649516
0.030000	-0.020548	0.654923
0.031000	-0.020548	-1.411411
0.032000	-0.489100	-3.126345
0.033000	0.523866	6.496738
0.034000	-0.645005	-8.276935
0.035000	-0.098918	-0.719805
0.036000	-0.410729	-2.784985
0.037000	-0.566634	-5.533266
0.038000	-0.098082	-0.032822
0.039000	-0.331522	-2.093368
0.040000	-0.098918	1.000536
0.041000	-0.488264	-5.187654
0.042000	0.057823	2.715861
0.043000	-0.176453	-1.757034
0.044000	-0.644169	-5.192680
0.045000	0.212892	3.056840
0.046000	-0.176453	-0.383079
0.047000	0.057823	-0.378053
0.048000	-0.410729	-3.126345
0.049000	-0.098918	1.682874
0.050000	-0.253987	-2.093750
0.051000	-0.722540	-6.561228
0.052000	0.291263	5.122783
0.053000	-0.566634	-4.163574
0.054000	-0.098918	0.654161
0.055000	-0.098918	-0.719413
0.056000	-0.333195	-0.719795
0.057000	-0.020548	1.682493
0.058000	-0.098918	-0.724439
0.059000	0.368797	5.468014
0.060000	-0.565798	-6.215615
0.061000	-0.098082	-0.037075
0.062000	-0.098082	-1.065026
0.063000	-0.643332	-6.220631
0.064000	-0.020548	0.649516
0.065000	0.212892	1.677859
0.066000	0.212892	3.748065
0.067000	-0.253987	-1.411411
0.068000	0.057823	1.682493
0.069000	0.368797	4.093677
0.070000	-0.253987	-3.127108
0.071000	0.212892	3.744586
0.072000	-0.098082	0.649516
0.073000	-0.020548	0.649516
0.074000	-0.098082	-0.378816
0.075000	-0.020548	0.995521
0.076000	0.134521	1.336880
0.077000	-0.020548	-0.378816
0.078000	0.367961	5.809374
0.079000	-0.098082	-1.070051
0.080000	-0.019711	-0.724439
0.081000	0.291263	4.430785
0.082000	-0.175617	-1.070051
0.083000	0.136194	1.682493
0.084000	0.291263	2.715480
0.085000	0.134521	5.804358
0.086000	-0.020548	-0.724820
0.087000	-0.333195	-3.809065
0.088000	0.446332	7.183339
0.089000	-0.176453	-2.444388
0.090000	-0.566634	-3.472349
0.091000	0.368797	4.094069
0.092000	-0.410729	-1.411411
0.093000	0.291263	1.336880
0.094000	-0.098082	-0.378826
0.095000	0.290427	6.155378
0.096000	-0.176453	-1.406386
0.097000	0.134521	1.336880
0.098000	0.134521	1.341514
0.099000	-0.566634	-6.215615
0.100000	0.212892	2.715480
0.101000	0.212892	1.341514
0.102000	-0.020548	1.682493
0.103000	-0.176453	-1.752771
0.104000	0.134521	4.776789
0.105000	-0.098918	0.995521
0.106000	-0.176453	-3.468086
0.107000	0.524703	6.837335
0.108000	-0.176453	-0.378435
0.109000	-0.020548	0.654161
0.110000	0.057823	-0.378435
0.111000	0.057823	0.649516
0.112000	0.212892	2.369868
0.113000	-0.020548	-2.098776
0.114000	0.367961	7.524308
0.115000	-0.488264	-4.155069
0.116000	-0.098082	-0.724439
0.117000	0.291263	5.122401
0.118000	-0.253987	-1.757416
0.119000	0.291263	4.430785
0.120000	-0.019711	1.336880
0.121000	0.290427	5.809374
0.122000	0.057823	-0.729073
0.123000	-0.176453	-2.434728
0.124000	0.601401	6.837335
0.125000	-0.411565	-5.869611
0.126000	0.212056	1.341133
0.127000	0.212056	2.374501
0.128000	-0.020548	0.654542
0.129000	-0.019711	-0.378816
0.130000	0.447168	4.775634
0.131000	0.368797	6.491331
0.132000	-0.175617	-1.065799
0.133000	0.212056	4.435419
0.134000	0.212056	0.995521
0.135000	-0.020548	-1.411411
0.136000	-0.020548	0.995521
0.137000	0.212892	2.033523
0.138000	-0.020548	1.336880
0.139000	-0.253987	-2.785366
0.140000	0.524703	8.206646
0.141000	-0.253987	-2.444007
0.142000	-0.098082	-1.411411
