BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2798	2798
Contact period end (sample #):	7999	7999
Contact period start time (s):	2.798000	2.798000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	632.906006	632.906006
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.536845	1.723959
0.001000	-0.693586	-0.337350
0.002000	-0.693586	4.812848
0.003000	-0.926190	-1.019689
0.004000	-0.615216	3.102558
0.005000	-0.616052	2.415967
0.006000	-1.238837	-5.146188
0.007000	-0.615216	1.382599
0.008000	-0.537681	2.756946
0.009000	-1.082931	-2.056918
0.010000	-1.160466	-4.463850
0.011000	-0.459310	4.813240
0.012000	-0.616052	1.723577
0.013000	-1.238837	-4.459216
0.014000	-0.460147	5.163867
0.015000	-0.537681	3.443155
0.016000	-0.849492	1.377573
0.017000	-1.004561	-2.398278
0.018000	-0.693586	1.382599
0.019000	-0.771121	-2.056918
0.020000	-1.004561	-2.744282
0.021000	-0.225034	7.224414
0.022000	-1.238837	-3.431254
0.023000	-0.849492	1.382599
0.024000	-0.615216	1.723959
0.025000	-1.082095	-2.056918
0.026000	-0.693586	3.102558
0.027000	-0.771957	-0.332716
0.028000	-0.460147	4.476895
0.029000	-0.849492	-2.061944
0.030000	-0.615216	1.719325
0.031000	-0.537681	4.476895
0.032000	-1.160466	-4.459597
0.033000	-0.615216	3.098306
0.034000	-0.771121	1.718933
0.035000	-1.082095	-1.707053
0.036000	-1.004561	-2.402922
0.037000	-0.771121	-0.337350
0.038000	-0.693586	2.761580
0.039000	-1.160466	-3.772233
0.040000	-0.616052	4.476895
0.041000	-0.771121	1.719325
0.042000	-1.004561	-1.706672
0.043000	-0.692750	1.036595
0.044000	-0.771121	0.008654
0.045000	-0.615216	1.386470
0.046000	-1.004561	-2.398278
0.047000	-0.537681	5.158460
0.048000	-1.082931	-3.777259
0.049000	-1.082095	-2.056918
0.050000	-0.459310	4.476895
0.051000	-1.004561	-2.398278
0.052000	-0.459310	4.813240
0.053000	-0.771121	0.690982
0.054000	-0.615216	2.756946
0.055000	-1.004561	-2.398278
0.056000	-0.926190	-1.365693
0.057000	-0.459310	4.822508
0.058000	-1.004561	-2.744282
0.059000	-0.536845	3.448563
0.060000	-1.004561	-0.678329
0.061000	-1.004561	-2.398278
0.062000	-0.771121	-0.678329
0.063000	-0.693586	0.008262
0.064000	-0.771121	1.382599
0.065000	-1.004561	-3.085642
0.066000	-0.381776	4.822899
0.067000	-0.771121	1.036595
0.068000	-1.004561	-2.744282
0.069000	-0.459310	5.158852
0.070000	-0.926190	-0.678710
0.071000	-0.926190	0.690982
0.072000	-1.160466	-3.776877
0.073000	-0.771121	2.761580
0.074000	-1.004561	-2.743901
0.075000	-0.849492	-2.403303
0.076000	-0.147500	7.916030
0.077000	-1.004561	-3.430873
0.078000	-0.771121	0.690982
0.079000	-0.536845	1.723959
0.080000	-1.004561	-2.056918
0.081000	-0.459310	3.102558
0.082000	-0.926190	-0.337350
0.083000	-0.460147	4.818255
0.084000	-1.004561	-3.431254
0.085000	-0.615216	3.102558
0.086000	-0.615216	3.102940
0.087000	-1.160466	-4.805210
0.088000	-0.693586	1.723577
0.089000	-0.849492	0.008262
0.090000	-1.160466	-3.771852
0.091000	-1.316371	-6.529813
0.092000	-0.926190	1.041620
0.093000	-1.004561	-1.019689
0.094000	-1.238837	-3.771852
0.095000	-0.693586	3.448552
0.096000	-1.160466	-2.743901
0.097000	-1.082931	-1.019699
0.098000	-1.160466	-4.113211
0.099000	-1.238837	-3.085261
0.100000	-0.771121	0.353875
0.101000	-1.316371	-5.146188
0.102000	-0.693586	4.135916
0.103000	-1.628181	-7.202482
0.104000	-1.082931	-2.397896
0.105000	-0.771121	3.102940
0.106000	-1.393905	-5.828145
0.107000	-1.004561	0.699879
0.108000	-1.160466	-2.739256
0.109000	-0.771121	1.382599
0.110000	-1.004561	-2.056918
0.111000	-1.160466	-3.772233
0.112000	-0.616052	3.789912
0.113000	-1.550647	-7.894490
0.114000	-0.615216	1.723959
0.115000	-1.160466	-1.706672
0.116000	-1.393905	-5.146188
0.117000	-1.082931	-3.085261
0.118000	-1.004561	-0.332716
0.119000	-0.771121	1.377955
0.120000	-1.160466	-4.459216
0.121000	-0.849492	2.757327
0.122000	-1.004561	-1.365693
0.123000	-1.316371	-5.828908
0.124000	-0.849492	0.013288
0.125000	-1.082095	-2.056536
0.126000	-1.160466	-3.085261
0.127000	-1.238837	-4.800576
0.128000	-0.771957	3.785278
0.129000	-1.238000	-6.174912
0.130000	-1.082095	-3.084869
0.131000	-0.693586	3.789912
0.132000	-1.160466	-3.085261
0.133000	-1.004561	0.004391
0.134000	-1.082931	-3.430873
0.135000	-1.004561	0.350004
0.136000	-1.004561	-1.365693
0.137000	-1.160466	-3.085261
0.138000	-0.537681	5.163867
0.139000	-1.315535	-6.520525
