BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	3044	3044
Contact period end (sample #):	7999	7999
Contact period start time (s):	3.044000	3.044000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	632.906006	632.906006
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.504076	-3.723159
0.001000	-0.270636	1.441343
0.002000	-0.270636	0.750118
0.003000	-0.582447	-3.722767
0.004000	0.040338	3.843249
0.005000	0.119545	2.123681
0.006000	0.040338	3.498018
0.007000	-0.348171	-2.343797
0.008000	-0.192266	2.469675
0.009000	0.197079	4.867329
0.010000	-0.504076	-3.723159
0.011000	0.274614	5.558945
0.012000	-0.348171	0.058109
0.013000	-0.348171	1.090694
0.014000	-0.349007	-0.970234
0.015000	-0.037197	2.469293
0.016000	-0.192266	2.465041
0.017000	-0.269800	-2.007844
0.018000	0.197079	5.558945
0.019000	-0.348171	-1.315846
0.020000	-0.426542	-0.628863
0.021000	0.197079	4.530613
0.022000	-0.270636	0.749334
0.023000	-0.192266	3.156658
0.024000	-0.426542	-0.624229
0.025000	-0.037197	4.189634
0.026000	-0.348171	-3.377155
0.027000	-0.659981	-3.381418
0.028000	0.197079	5.213333
0.029000	-0.582447	-3.718134
0.030000	0.040338	3.502270
0.031000	-0.037197	2.128315
0.032000	-0.038033	3.502270
0.033000	-0.192266	-0.287503
0.034000	-0.348171	-0.969842
0.035000	0.197079	5.900305
0.036000	-0.582447	-4.064138
0.037000	-0.426542	0.399469
0.038000	0.119545	2.806020
0.039000	-0.659981	-3.377155
0.040000	-0.270636	1.782702
0.041000	-0.037197	2.469685
0.042000	-0.115567	3.161292
0.043000	-0.426542	-2.348823
0.044000	0.197079	4.876225
0.045000	-0.192266	1.441343
0.046000	-0.504076	-4.059493
0.047000	-0.037197	4.876225
0.048000	-0.037197	2.465041
0.049000	-0.270636	1.441343
0.050000	-0.426542	-1.661840
0.051000	-0.037197	3.156658
0.052000	-0.192266	0.740448
0.053000	-0.504076	-2.685538
0.054000	0.352985	7.273879
0.055000	-0.348171	-0.628863
0.056000	-0.504076	-0.969842
0.057000	0.119545	3.156658
0.058000	-0.270636	0.740448
0.059000	-0.037197	3.156266
0.060000	-0.426542	-1.315846
0.061000	0.040338	4.872354
0.062000	-0.504076	-4.064519
0.063000	-0.269800	-0.628863
0.064000	0.197079	4.184609
0.065000	-0.504076	-4.064519
0.066000	-0.270636	2.469293
0.067000	-0.037197	2.465041
0.068000	0.197079	5.558182
0.069000	-0.270636	-0.970223
0.070000	-0.426542	-1.315846
0.071000	0.197079	6.246309
0.072000	-0.426542	-2.348823
0.073000	0.119545	2.815298
0.074000	-0.349007	0.058109
0.075000	-0.426542	-1.320480
0.076000	-0.037197	2.810664
0.077000	-0.037197	2.469675
0.078000	-0.037197	2.810653
0.079000	-0.348171	-2.690564
0.080000	0.352985	6.582262
0.081000	-0.426542	-0.283251
0.082000	-0.270636	-2.344560
0.083000	0.040338	4.189634
0.084000	-0.037197	1.431672
0.085000	-0.037197	3.156658
0.086000	-0.426542	-1.661840
0.087000	0.197079	5.213333
0.088000	-0.582447	-2.003210
0.089000	-0.582447	-4.064138
0.090000	0.430519	8.648216
0.091000	-0.504076	-3.377155
0.092000	-0.037197	1.432456
0.093000	0.117872	2.469293
0.094000	-0.270636	0.399088
0.095000	0.352985	6.586515
0.096000	-0.349007	0.058109
0.097000	-0.037197	3.844022
0.098000	-0.348171	-1.662232
0.099000	-0.426542	-1.311202
0.100000	0.197079	5.213333
0.101000	-0.815887	-5.774427
0.102000	-0.037197	4.184609
0.103000	-0.192266	2.465041
0.104000	-0.037197	2.465041
0.105000	-0.270636	0.058109
0.106000	-0.270636	0.740448
0.107000	0.197079	5.558945
0.108000	-0.426542	-2.003210
0.109000	-0.037197	3.156658
0.110000	-0.192266	0.399469
0.111000	-0.504076	-1.316227
0.112000	-0.270636	1.782321
0.113000	-0.037197	2.810653
0.114000	-0.037197	2.810653
0.115000	-0.348171	-2.348823
0.116000	-0.270636	2.811035
0.117000	-0.270636	-1.320872
0.118000	-0.737516	-4.751110
0.119000	-0.037197	3.843630
0.120000	-0.504076	-0.974486
0.121000	-0.270636	2.810653
0.122000	-0.504076	-3.718525
0.123000	-0.270636	3.156266
0.124000	-0.582447	-2.689801
0.125000	-0.894257	-6.811656
0.126000	0.040338	6.246691
0.127000	-0.894257	-7.839999
0.128000	-0.426542	-0.282869
0.129000	-0.504076	-1.315846
0.130000	-0.426542	-1.320480
0.131000	-0.349007	1.782702
0.132000	-0.348171	-1.315846
0.133000	-0.115567	3.502652
0.134000	-0.659981	-5.433067
0.135000	-0.582447	-2.348823
0.136000	-0.115567	1.090694
0.137000	-0.893421	-7.499021
0.138000	-0.192266	2.810653
0.139000	-0.349007	0.058109
0.140000	-0.504076	-1.656825
0.141000	-0.504912	-2.003210
