BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	3053	3053
Contact period end (sample #):	3347	3347
Contact period start time (s):	3.053000	3.053000
Contact period end time (s):	3.347000	3.347000
First sample time (s):	0.000000	0.000000
Normalized force (N):	842.598938	842.598938
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.160027	-2.252217
0.001000	0.307689	2.215251
0.002000	0.229318	2.219503
0.003000	0.385223	6.001164
0.004000	-0.159191	-3.626945
0.005000	-0.003286	0.154323
0.006000	0.073412	1.182666
0.007000	-0.471002	-6.715442
0.008000	0.151783	2.215251
0.009000	-0.003286	0.495683
0.010000	-0.081656	0.841688
0.011000	-0.237562	-3.280941
0.012000	-0.003286	1.524026
0.013000	0.151783	3.939844
0.014000	-0.392631	-5.687481
0.015000	0.151783	3.252872
0.016000	0.073412	-0.878653
0.017000	-0.159191	-0.532649
0.018000	-0.159191	-1.906604
0.019000	-0.627743	-4.303876
0.020000	-0.159191	-0.878653
0.021000	-0.627743	-5.682857
0.022000	0.307689	3.935211
0.023000	-0.393467	-4.313536
0.024000	-0.627743	-6.374082
0.025000	-0.081656	0.495683
0.026000	-0.393467	-2.939200
0.027000	-0.081656	0.154323
0.028000	-0.236725	-1.906223
0.029000	0.151783	3.594232
0.030000	-0.236725	-4.313536
0.031000	-0.471002	-4.313536
0.032000	0.307689	3.589598
0.033000	-0.627743	-6.374082
0.034000	-0.003286	-0.191289
0.035000	-0.081656	-0.190908
0.036000	-0.160027	-0.191681
0.037000	0.151783	0.841688
0.038000	-0.159191	-1.219240
0.039000	0.151783	3.253253
0.040000	-0.548536	-7.061054
0.041000	-0.081656	-0.878272
0.042000	-0.003286	-0.190908
0.043000	-0.705278	-8.094815
0.044000	0.230154	2.215251
0.045000	0.230154	2.215251
0.046000	-0.237562	-0.532268
0.047000	-0.237562	-3.967924
0.048000	0.151783	1.186908
0.049000	0.307689	2.907260
0.050000	-0.471002	-4.654896
0.051000	0.151783	3.589598
0.052000	-0.081656	-0.873628
0.053000	-0.236725	-0.878272
0.054000	-0.237562	-1.910857
0.055000	-0.081656	-1.224266
0.056000	-0.159191	-0.873628
0.057000	-0.392631	-3.289838
0.058000	0.073412	3.253253
0.059000	-0.315096	-2.944225
0.060000	-0.237562	-2.944225
0.061000	0.075085	2.215251
0.062000	-0.237562	-1.565244
0.063000	-0.081656	0.841688
0.064000	-0.080820	-1.219632
0.065000	0.229318	4.968568
0.066000	-0.471002	-7.402033
0.067000	-0.548536	-6.024217
0.068000	0.307689	4.968568
0.069000	-0.236725	-3.621919
0.070000	-0.003286	0.495683
0.071000	0.151783	0.495683
0.072000	-0.159191	-0.532268
0.073000	-0.081656	-1.560610
0.074000	-0.003286	-0.878653
0.075000	-0.081656	2.219885
0.076000	-0.393467	-4.996256
0.077000	-0.003286	-0.537293
0.078000	-0.160027	-0.191289
0.079000	-0.705278	-7.402414
0.080000	-0.003286	0.155097
0.081000	0.073412	0.154323
0.082000	-0.003286	1.528268
0.083000	-0.159191	-3.963279
0.084000	0.073412	1.183048
0.085000	0.307689	2.215251
0.086000	-0.471002	-7.748811
0.087000	0.230154	1.183048
0.088000	-0.160027	-1.565244
0.089000	-0.159191	-1.906604
0.090000	-0.237562	-2.252609
0.091000	-0.081656	0.495683
0.092000	-0.081656	-1.219632
0.093000	-0.471002	-6.369438
0.094000	0.151783	3.253253
0.095000	-0.315096	-1.911249
0.096000	-0.237562	-0.191289
0.097000	0.230154	2.566281
0.098000	-0.237562	-2.252609
0.099000	-0.159191	-0.873628
0.100000	-0.237562	-2.939200
0.101000	-0.081656	0.841688
0.102000	-0.471002	-4.654896
0.103000	-0.471002	-5.341497
0.104000	0.230154	3.594232
0.105000	-0.471002	-4.654896
0.106000	0.151783	0.841688
0.107000	-0.159191	-0.532268
0.108000	-0.160027	1.528268
0.109000	-0.003286	-0.878653
0.110000	-0.236725	-2.598221
0.111000	0.230154	3.584943
0.112000	-0.548536	-7.407451
0.113000	-0.081656	-0.537293
0.114000	-0.159191	-0.537293
0.115000	-0.471002	-3.967532
0.116000	0.230154	0.836662
0.117000	-0.159191	-0.878272
0.118000	-0.003286	1.183048
0.119000	-0.392631	-4.654896
0.120000	-0.237562	-0.190908
0.121000	-0.159191	-1.219632
0.122000	-0.705278	-8.435402
0.123000	-0.003286	1.532912
0.124000	-0.159191	-1.224266
0.125000	-0.315096	-2.252609
0.126000	-0.315096	-3.635058
0.127000	-0.081656	-0.532268
0.128000	-0.160027	-0.878272
0.129000	-0.315096	-5.682857
0.130000	-0.003286	2.219885
0.131000	-0.159191	-2.252609
0.132000	-0.315933	-1.901970
0.133000	-0.159191	-0.878272
0.134000	-0.393467	-2.247583
0.135000	-0.081656	0.496075
0.136000	-0.393467	-4.309284
0.137000	-0.003286	2.907260
0.138000	-0.315096	-5.336853
0.139000	-0.315096	-4.995493
0.140000	0.541128	5.655551
