BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	820	820
Contact period end (sample #):	3656	3656
Contact period start time (s):	0.820000	0.820000
Contact period end time (s):	3.656000	3.656000
First sample time (s):	0.000000	0.000000
Normalized force (N):	795.046021	795.046021
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.215371	-2.761417
0.001000	-0.059466	1.014825
0.002000	-0.214535	-1.041468
0.003000	-0.137000	-2.766443
0.004000	0.173974	3.776648
0.005000	-0.137000	-2.761417
0.006000	-0.137000	-2.420439
0.007000	0.720061	6.520306
0.008000	0.018905	0.673465
0.009000	0.252345	3.080016
0.010000	0.173974	0.332487
0.011000	0.252345	2.398059
0.012000	0.173974	1.019862
0.013000	-0.137000	-1.733466
0.014000	0.329879	5.487329
0.015000	-0.137000	-3.102396
0.016000	-0.059466	-0.695464
0.017000	0.329879	4.795712
0.018000	-0.214535	-2.761809
0.019000	0.252345	3.089675
0.020000	-0.059466	0.332487
0.021000	-0.370440	-3.448400
0.022000	-0.137000	-2.074445
0.023000	0.173974	2.057080
0.024000	0.095603	2.398440
0.025000	-0.137000	-1.733466
0.026000	0.564155	6.861284
0.027000	-0.137000	-1.728822
0.028000	-0.058629	-2.415805
0.029000	0.641690	7.202644
0.030000	-0.059466	-0.700490
0.031000	-0.059466	1.364690
0.032000	-0.059466	-0.700490
0.033000	0.173974	1.706050
0.034000	0.252345	2.743671
0.035000	0.095603	0.673465
0.036000	0.251509	4.458605
0.037000	-0.292905	-3.448771
0.038000	-0.059466	-0.700490
0.039000	0.564155	5.487329
0.040000	0.018905	-1.728822
0.041000	0.251509	4.458605
0.042000	0.173974	2.398059
0.043000	-0.058629	-0.359119
0.044000	-0.137000	-1.387462
0.045000	0.173974	1.364690
0.046000	0.097276	0.673465
0.047000	-0.136164	-2.074826
0.048000	0.564155	7.548257
0.049000	-0.058629	-1.387462
0.050000	-0.137000	-2.420057
0.051000	0.720061	8.576599
0.052000	-0.059466	-1.041850
0.053000	0.173974	1.023712
0.054000	0.173974	-0.013899
0.055000	-0.059466	-0.354485
0.056000	0.329879	2.744063
0.057000	-0.059466	-1.041850
0.058000	0.407414	7.202263
0.059000	-0.137000	-3.112055
0.060000	-0.137000	-2.074445
0.061000	0.252345	4.113363
0.062000	-0.370440	-4.818092
0.063000	0.095603	2.398059
0.064000	0.251509	2.398059
0.065000	-0.137000	-1.728832
0.066000	0.018905	1.024496
0.067000	0.252345	1.706050
0.068000	0.173974	2.739419
0.069000	-0.292905	-4.135754
0.070000	0.564155	6.515672
0.071000	-0.215371	-2.074445
0.072000	0.018905	-1.387462
0.073000	0.564155	7.548257
0.074000	0.252345	2.056699
0.075000	0.251509	3.089675
0.076000	0.252345	0.673465
0.077000	-0.137000	-0.013125
0.078000	0.252345	2.739419
0.079000	0.018905	-2.074826
0.080000	0.329043	5.141325
0.081000	-0.137000	-2.074826
0.082000	-0.137000	-2.074445
0.083000	0.641690	7.207278
0.084000	-0.292905	-4.818092
0.085000	0.251509	2.056699
0.086000	0.251509	2.398059
0.087000	-0.370440	-4.476732
0.088000	0.018905	1.014825
0.089000	0.173974	1.365474
0.090000	0.173974	2.398059
0.091000	-0.059466	-0.700098
0.092000	0.251509	3.435669
0.093000	0.173974	3.085031
0.094000	-0.292905	-4.131110
0.095000	0.564155	6.861284
0.096000	-0.059466	-1.387462
0.097000	-0.137000	-0.013899
0.098000	0.097276	2.056699
0.099000	-0.059466	-0.700490
0.100000	0.720061	6.169668
0.101000	-0.137000	-1.729214
0.102000	0.564155	6.174302
0.103000	-0.214535	-4.131120
0.104000	-0.371276	-4.477114
0.105000	0.719224	8.235621
0.106000	-0.292905	-4.131120
0.107000	0.173974	3.421376
0.108000	0.173974	3.080016
0.109000	-0.448811	-4.135754
0.110000	0.564155	4.453971
0.111000	-0.137000	-1.387473
0.112000	-0.137836	1.374742
0.113000	0.173974	-1.387462
0.114000	0.329879	3.771633
0.115000	0.564155	5.487329
0.116000	0.018905	-2.415805
0.117000	0.329879	5.823663
0.118000	-0.137000	-0.013125
0.119000	0.018905	-0.013125
0.120000	0.329879	3.766988
0.121000	-0.215371	-2.756783
0.122000	0.407414	4.112993
0.123000	-0.137000	-2.415805
0.124000	0.252345	5.487329
0.125000	0.173974	0.673465
0.126000	-0.214535	-3.790141
0.127000	0.641690	7.198000
0.128000	-0.370440	-6.542686
0.129000	0.173974	2.398059
0.130000	0.018905	1.014825
0.131000	-0.682250	-7.565621
0.132000	0.173974	2.398059
0.133000	-0.059466	-0.700490
0.134000	-0.059466	1.014825
0.135000	-0.292905	-3.448400
0.136000	-0.371276	-2.761036
0.137000	0.173974	4.112993
0.138000	-0.214535	-3.107422
0.139000	0.329879	3.431035
0.140000	-0.214535	-1.733085
0.141000	-0.371276	-4.130728
0.142000	0.173974	3.431035
0.143000	-0.292905	-1.728441
0.144000	-0.059466	-1.382828
