BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	1105	1105
Contact period end (sample #):	7996	7996
Contact period start time (s):	1.105000	1.105000
Contact period end time (s):	7.996000	7.996000
First sample time (s):	0.000000	0.000000
Normalized force (N):	798.062988	798.062988
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.065490	-0.560764
0.001000	-0.065490	-2.622083
0.002000	-0.065490	-2.281104
0.003000	0.480597	3.556849
0.004000	0.480597	5.967642
0.005000	0.246321	3.219350
0.006000	0.246321	1.504808
0.007000	0.323855	5.281051
0.008000	0.480597	5.963390
0.009000	0.246321	4.939691
0.010000	0.090415	0.126209
0.011000	-0.377300	-5.370375
0.012000	0.012881	-0.560764
0.013000	0.090415	0.126209
0.014000	-0.065490	-1.248128
0.015000	-0.065490	-1.934719
0.016000	0.012881	-0.560764
0.017000	0.090415	0.125827
0.018000	0.167950	1.159196
0.019000	0.168786	2.537393
0.020000	0.090415	1.504808
0.021000	0.791571	7.683338
0.022000	0.791571	8.374573
0.023000	0.012881	-0.219404
0.024000	-0.065490	-0.560764
0.025000	-0.065490	-0.906768
0.026000	0.012881	0.467187
0.027000	-0.221395	-2.276089
0.028000	-0.065490	-2.963062
0.029000	-0.532369	-6.748582
0.030000	0.012045	-0.560764
0.031000	-0.065490	-1.247746
0.032000	-0.143024	-2.622083
0.033000	-0.298930	-2.621702
0.034000	-0.143024	-1.593359
0.035000	0.167950	5.276407
0.036000	0.090415	3.220113
0.037000	0.090415	0.471821
0.038000	-0.221395	-1.593359
0.039000	0.167950	4.248074
0.040000	0.323855	4.599094
0.041000	-0.143024	-1.589106
0.042000	-0.298930	-5.370375
0.043000	-0.609904	-7.089942
0.044000	-0.065490	0.126209
0.045000	0.091252	0.812800
0.046000	-0.298930	-2.963062
0.047000	-0.298930	-4.687655
0.048000	-0.143024	-2.621702
0.049000	0.090415	2.528888
0.050000	0.090415	0.125827
0.051000	0.090415	1.504808
0.052000	-0.065490	-0.560774
0.053000	0.246321	4.940062
0.054000	0.246321	4.589434
0.055000	-0.064654	-0.560764
0.056000	-0.143861	-1.252772
0.057000	-0.298930	-4.000291
0.058000	0.012881	-0.906386
0.059000	-0.064654	-2.280331
0.060000	-0.143024	-2.963062
0.061000	-0.609904	-8.804484
0.062000	-0.143024	-1.598385
0.063000	0.012881	-0.219796
0.064000	-0.220559	-2.963062
0.065000	0.091252	0.125827
0.066000	0.012881	0.126209
0.067000	0.403062	6.314028
0.068000	0.246321	3.220897
0.069000	-0.065490	0.467569
0.070000	-0.298930	-2.280723
0.071000	0.090415	2.187910
0.072000	0.168786	1.851194
0.073000	-0.375628	-5.370375
0.074000	-0.143024	-3.313700
0.075000	-0.609904	-6.402578
0.076000	0.012881	0.467187
0.077000	0.012881	-0.215151
0.078000	-0.064654	-2.280723
0.079000	-0.298930	-5.378880
0.080000	0.167950	0.126209
0.081000	0.480597	5.968023
0.082000	0.012881	-0.219796
0.083000	0.168786	3.220113
0.084000	-0.065490	0.467569
0.085000	0.090415	3.561473
0.086000	0.168786	2.187126
0.087000	-0.064654	-3.654678
0.088000	-0.532369	-6.748582
0.089000	-0.220559	-2.280331
0.090000	0.091252	1.154160
0.091000	-0.220559	-3.996038
0.092000	-0.220559	-4.341651
0.093000	-0.298930	-4.687655
0.094000	0.013717	-1.252380
0.095000	0.168786	1.846168
0.096000	0.012881	0.126209
0.097000	0.012881	1.150289
0.098000	0.091252	4.253090
0.099000	0.168786	5.276407
0.100000	-0.064654	0.126209
0.101000	-0.143024	-2.280723
0.102000	-0.064654	-1.593740
0.103000	-0.143024	-1.939363
0.104000	0.012881	-0.560382
0.105000	-0.220559	-4.000672
0.106000	-0.453999	-4.341651
0.107000	-0.221395	-2.622083
0.108000	0.012881	0.467187
0.109000	-0.064654	-0.906768
0.110000	0.012881	-1.593740
0.111000	0.012881	-1.248128
0.112000	0.168786	4.253090
0.113000	0.325528	3.907477
0.114000	0.091252	2.196415
0.115000	-0.064654	0.126209
0.116000	-0.064654	0.121956
0.117000	0.012881	0.813181
0.118000	-0.377300	-3.654678
0.119000	-0.453162	-6.748582
0.120000	-0.453999	-6.061600
0.121000	0.091252	0.808547
0.122000	0.012881	0.126209
0.123000	-0.220559	-2.626335
0.124000	-0.220559	-3.996038
0.125000	-0.220559	-2.622083
0.126000	0.168786	2.537393
0.127000	0.246321	4.599094
0.128000	0.091252	1.150289
0.129000	-0.143024	-1.248128
0.130000	0.403062	5.276407
0.131000	0.012881	3.902070
0.132000	-0.220559	-1.939363
0.133000	-0.453999	-4.341651
0.134000	-0.609904	-6.061600
0.135000	-0.064654	-0.565408
0.136000	0.012881	-1.589106
0.137000	-0.375628	-4.000672
0.138000	-0.453999	-5.715595
0.139000	0.013717	0.121183
0.140000	0.012881	0.126209
0.141000	0.012881	0.808547
0.142000	0.168786	2.537393
0.143000	-0.142188	-1.252380
