BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	410	410
Contact period end (sample #):	7971	7971
Contact period start time (s):	0.410000	0.410000
Contact period end time (s):	7.971000	7.971000
First sample time (s):	0.000000	0.000000
Normalized force (N):	798.062988	798.062988
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.604069	0.552642
0.001000	0.213052	-1.508296
0.002000	0.525698	2.609699
0.003000	0.759138	6.044592
0.004000	0.603233	1.585619
0.005000	0.213052	-0.129696
0.006000	0.369793	-0.134341
0.007000	0.369793	0.552642
0.008000	-0.097923	-3.914836
0.009000	-0.020388	-4.601808
0.010000	-0.097923	-4.601808
0.011000	0.447328	-0.475309
0.012000	0.447328	0.211664
0.013000	0.214724	-3.573857
0.014000	0.057983	-2.536628
0.015000	0.213052	-1.503651
0.016000	0.603233	2.268339
0.017000	0.681604	1.585619
0.018000	0.603233	1.922334
0.019000	0.057983	-1.512930
0.020000	0.603233	4.324632
0.021000	0.603233	2.613951
0.022000	0.213052	-0.475319
0.023000	0.057983	-2.882632
0.024000	0.369793	-0.129315
0.025000	0.213052	-1.167317
0.026000	-0.019552	-4.938524
0.027000	0.057983	-4.601808
0.028000	-0.019552	-3.573857
0.029000	0.525698	-0.134341
0.030000	0.448164	-2.195268
0.031000	0.057983	-4.256196
0.032000	-0.019552	-6.317515
0.033000	0.603233	1.244640
0.034000	0.681604	3.983272
0.035000	0.603233	1.585619
0.036000	0.447328	0.553024
0.037000	0.525698	2.614343
0.038000	0.759974	4.670245
0.039000	0.213052	-1.508296
0.040000	0.369793	-0.134341
0.041000	-0.097923	-3.914836
0.042000	0.213052	-0.821313
0.043000	0.214724	-2.886493
0.044000	0.057983	-4.260448
0.045000	-0.175457	-7.009513
0.046000	0.369793	-0.821313
0.047000	0.603233	0.899028
0.048000	0.214724	-2.886493
0.049000	0.213052	-3.227853
0.050000	0.447328	0.207030
0.051000	0.759138	5.362253
0.052000	0.525698	1.581356
0.053000	0.525698	1.585619
0.054000	0.369793	0.211664
0.055000	0.525698	3.301315
0.056000	0.603233	2.609699
0.057000	0.057983	-1.849264
0.058000	-0.175457	-5.293817
0.059000	0.369793	-1.854290
0.060000	0.448164	0.557276
0.061000	-0.020388	-4.260448
0.062000	0.214724	-4.260830
0.063000	0.369793	-2.891519
0.064000	0.447328	-1.848883
0.065000	0.448164	-1.162292
0.066000	0.369793	-1.508285
0.067000	-0.020388	-2.541272
0.068000	0.525698	2.955311
0.069000	0.837509	5.362253
0.070000	0.369793	0.211664
0.071000	0.213052	-1.167317
0.072000	0.447328	2.273364
0.073000	0.759138	5.016641
0.074000	0.213052	-0.133949
0.075000	0.057983	-3.914836
0.076000	-0.253828	-5.985433
0.077000	0.369793	-0.479953
0.078000	0.057983	-1.508285
0.079000	0.369793	-1.508285
0.080000	-0.253828	-8.378061
0.081000	0.214724	-0.479953
0.082000	0.369793	-1.166926
0.083000	0.214724	-1.854290
0.084000	0.447328	-2.195268
0.085000	0.603233	1.585619
0.086000	0.759138	6.735817
0.087000	0.603233	2.614343
0.088000	0.603233	0.894002
0.089000	0.369793	-1.854290
0.090000	0.681604	4.670245
0.091000	0.603233	2.609699
0.092000	-0.019552	-4.601808
0.093000	-0.097923	-7.004488
0.094000	-0.176293	-3.573857
0.095000	0.369793	0.898636
0.096000	-0.097923	-4.256196
0.097000	0.369793	-1.162673
0.098000	0.057983	-4.260830
0.099000	0.447328	0.898646
0.100000	0.214724	-1.854290
0.101000	0.369793	-0.821313
0.102000	0.603233	0.898255
0.103000	0.915043	7.081821
0.104000	1.070949	9.147382
0.105000	0.603233	1.239615
0.106000	0.525698	0.898636
0.107000	0.525698	2.268339
0.108000	0.680767	5.361872
0.109000	0.525698	-0.821313
0.110000	0.447328	-1.508285
0.111000	0.057983	-3.227853
0.112000	0.525698	0.552642
0.113000	0.525698	0.552642
0.114000	0.213052	-2.537010
0.115000	0.214724	-2.882632
0.116000	0.681604	1.922726
0.117000	0.681604	3.983272
0.118000	0.525698	0.552642
0.119000	0.448164	-0.480335
0.120000	0.837509	5.020893
0.121000	0.993414	8.455776
0.122000	0.759138	4.679533
0.123000	0.759138	2.959193
0.124000	0.447328	0.211664
0.125000	0.525698	3.295908
0.126000	0.603233	1.585619
0.127000	0.214724	-2.886874
0.128000	0.214724	-3.915217
0.129000	0.525698	0.557668
0.130000	0.525698	1.244640
0.131000	0.214724	-2.545515
0.132000	0.369793	-3.227853
0.133000	0.448164	-1.166926
0.134000	0.681604	3.641912
0.135000	0.681604	1.585619
0.136000	0.759138	3.641912
0.137000	0.448164	-0.133949
0.138000	0.915043	7.768793
0.139000	0.837509	6.053478
0.140000	0.681604	2.613951
0.141000	0.214724	-0.816669
0.142000	0.447328	1.585619
0.143000	0.603233	3.295908
0.144000	0.369793	-2.886874
0.145000	0.369793	-1.854290
0.146000	0.057983	-3.227853
0.147000	0.604069	2.277235
