BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	1986	1986
Contact period end (sample #):	7999	7999
Contact period start time (s):	1.986000	1.986000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	808.729980	808.729980
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.046676	-1.613964
0.001000	-0.436021	-6.769188
0.002000	-0.669461	-7.797149
0.003000	-0.202582	-1.272604
0.004000	0.030858	-0.240401
0.005000	-0.202582	-3.338949
0.006000	-0.358487	-6.082597
0.007000	-0.124211	-2.310607
0.008000	-0.046676	-1.272986
0.009000	-0.125047	-1.959577
0.010000	-0.358487	-5.058517
0.011000	0.030858	0.792968
0.012000	0.185927	2.166531
0.013000	-0.202582	-1.613964
0.014000	0.030858	0.105603
0.015000	0.341832	6.284526
0.016000	0.420203	6.288778
0.017000	-0.047513	0.792968
0.018000	-0.280952	-1.614346
0.019000	-0.047513	1.479940
0.020000	0.341832	5.597161
0.021000	-0.046676	0.105603
0.022000	-0.125047	-0.926600
0.023000	-0.593599	-5.399495
0.024000	0.030858	-0.240401
0.025000	-0.358487	-5.736211
0.026000	-0.280952	-3.675284
0.027000	-0.358487	-4.025540
0.028000	0.030858	-0.244261
0.029000	-0.280952	-2.642296
0.030000	-0.358487	-4.712513
0.031000	-0.280952	-4.025540
0.032000	-0.047513	0.446963
0.033000	-0.046676	-1.959577
0.034000	-0.125047	-3.679536
0.035000	-0.280116	-3.338558
0.036000	0.185927	2.162660
0.037000	0.187600	3.886872
0.038000	0.185927	1.479559
0.039000	-0.125047	-1.272604
0.040000	0.341832	5.255801
0.041000	0.185927	3.195255
0.042000	-0.047513	0.792968
0.043000	-0.280952	-2.992564
0.044000	0.030858	3.195255
0.045000	0.185927	3.195255
0.046000	-0.203418	-1.959577
0.047000	-0.514392	-6.086849
0.048000	-0.202582	-1.272604
0.049000	-0.046676	-0.931626
0.050000	-0.436858	-4.712513
0.051000	-0.436858	-6.082597
0.052000	0.030858	-0.581379
0.053000	0.030858	1.479559
0.054000	-0.280952	-4.025922
0.055000	-0.280952	-3.680309
0.056000	0.030858	-0.581379
0.057000	0.030858	0.792968
0.058000	-0.202582	-4.366900
0.059000	-0.125047	-2.646549
0.060000	0.185927	1.479940
0.061000	0.420203	4.910189
0.062000	0.030858	1.134328
0.063000	0.030858	0.792576
0.064000	0.030858	2.162660
0.065000	0.185927	4.228232
0.066000	0.185927	3.195255
0.067000	0.030858	0.446963
0.068000	-0.046676	-0.244261
0.069000	0.030858	2.854277
0.070000	-0.202582	-2.300937
0.071000	-0.280952	-3.679536
0.072000	-0.436858	-5.395232
0.073000	-0.125047	-0.235375
0.074000	-0.280952	-4.366508
0.075000	-0.124211	-4.020896
0.076000	-0.671134	-6.774213
0.077000	0.030858	1.479940
0.078000	-0.046676	-1.272604
0.079000	-0.125047	-2.997579
0.080000	-0.436021	-6.769188
0.081000	-0.047513	-0.235375
0.082000	-0.046676	0.446963
0.083000	0.109229	-0.585621
0.084000	-0.125047	-0.931626
0.085000	0.185927	1.133936
0.086000	0.264298	3.882227
0.087000	0.030858	0.446963
0.088000	-0.047513	0.792576
0.089000	0.185927	3.886872
0.090000	0.264298	4.228232
0.091000	-0.046676	-0.931626
0.092000	-0.280952	-3.679536
0.093000	-0.046676	1.138961
0.094000	0.030858	1.474914
0.095000	-0.280952	-3.679536
0.096000	-0.202582	-5.054254
0.097000	-0.046676	-1.272986
0.098000	0.030858	0.446963
0.099000	0.109229	-1.272986
0.100000	-0.046676	-1.959577
0.101000	0.264298	1.475306
0.102000	0.109229	2.156871
0.103000	-0.046676	-3.679918
0.104000	-0.280952	-2.992564
0.105000	0.109229	1.133946
0.106000	0.420203	6.284144
0.107000	0.109229	0.787942
0.108000	0.342669	2.849643
0.109000	0.342669	3.195255
0.110000	0.810384	9.382693
0.111000	0.264298	4.223217
0.112000	0.341832	4.564185
0.113000	-0.046676	-0.585621
0.114000	0.341832	4.564185
0.115000	0.264298	3.877212
0.116000	0.185927	0.451608
0.117000	-0.280952	-2.646549
0.118000	0.030858	0.105603
0.119000	-0.046676	-0.586003
0.120000	-0.202582	-3.343191
0.121000	-0.280116	-3.679918
0.122000	0.185927	2.166923
0.123000	0.030858	0.446963
0.124000	-0.046676	-1.614346
0.125000	-0.203418	-4.371534
0.126000	-0.124211	-0.931626
0.127000	0.264298	1.820919
0.128000	0.031694	-0.926981
0.129000	-0.202582	-4.025540
0.130000	0.264298	3.195255
0.131000	0.497738	6.629756
0.132000	0.264298	2.849251
0.133000	0.342669	3.194492
0.134000	0.341832	5.251549
0.135000	0.732014	7.653836
0.136000	0.264298	1.479559
0.137000	0.030858	1.479559
0.138000	0.264298	3.190611
0.139000	0.420203	6.284144
0.140000	0.109229	-0.244643
0.141000	-0.203418	-2.992945
0.142000	-0.202582	-1.959577
0.143000	0.030858	0.446963
