BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2907	2907
Contact period end (sample #):	7854	7854
Contact period start time (s):	2.907000	2.907000
Contact period end time (s):	7.854000	7.854000
First sample time (s):	0.000000	0.000000
Normalized force (N):	808.729980	808.729980
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.088668	-0.337961
0.001000	-0.011133	1.381215
0.002000	-0.011133	3.101937
0.003000	0.379048	3.442915
0.004000	-0.322944	-1.365922
0.005000	-0.088668	-1.711916
0.006000	0.145608	2.755933
0.007000	0.145608	1.386240
0.008000	-0.322107	-4.114214
0.009000	-0.556383	-7.554112
0.010000	-0.244573	-2.053276
0.011000	-0.088668	-1.366304
0.012000	-0.244573	-2.394636
0.013000	-0.166202	-4.119240
0.014000	-0.088668	-1.024944
0.015000	0.145608	0.353264
0.016000	-0.322107	-4.119240
0.017000	-0.166202	-2.745285
0.018000	-0.088668	-1.020299
0.019000	-0.011133	1.386240
0.020000	-0.478849	-5.488551
0.021000	-0.322107	-5.142938
0.022000	-0.088668	0.012285
0.023000	0.456583	5.503462
0.024000	-0.088668	0.698876
0.025000	-0.088668	0.357898
0.026000	0.145608	3.442915
0.027000	0.378212	4.817252
0.028000	-0.011133	2.077857
0.029000	-0.166202	0.012285
0.030000	-0.244573	0.358279
0.031000	-0.400478	-2.740269
0.032000	-0.088668	-0.333719
0.033000	-0.478849	-5.488551
0.034000	0.145608	1.732245
0.035000	-0.088668	-1.020299
0.036000	-0.244573	-4.464852
0.037000	-0.478013	-6.180167
0.038000	-0.244573	-3.427623
0.039000	0.068074	0.357898
0.040000	-0.167038	-3.773236
0.041000	-0.244573	-2.735615
0.042000	-0.400478	-4.114214
0.043000	0.145608	1.731853
0.044000	-0.322107	-5.488551
0.045000	-0.166202	-2.740651
0.046000	-0.166202	-2.053276
0.047000	-0.088668	1.040236
0.048000	-0.167038	-3.086645
0.049000	-0.400478	-3.427623
0.050000	0.145608	1.386240
0.051000	0.300677	3.101937
0.052000	0.379048	2.419217
0.053000	0.145608	0.353645
0.054000	0.300677	3.101937
0.055000	0.456583	5.162865
0.056000	0.145608	2.419217
0.057000	0.300677	1.040628
0.058000	0.145608	1.386240
0.059000	0.300677	3.447941
0.060000	-0.244573	-1.707282
0.061000	-0.400478	-3.768602
0.062000	-0.400478	-3.772854
0.063000	0.145608	2.760196
0.064000	-0.166202	-3.432257
0.065000	-0.244573	-3.773236
0.066000	-0.399642	-4.464852
0.067000	0.379048	1.045262
0.068000	-0.166202	-3.773236
0.069000	-0.088668	-3.086645
0.070000	-0.244573	-4.801960
0.071000	-0.088668	-0.333719
0.072000	-0.088668	-2.394255
0.073000	-0.322944	-4.801960
0.074000	-0.322944	-4.797326
0.075000	-0.088668	0.353264
0.076000	-0.088668	-1.016057
0.077000	-0.088668	-1.020299
0.078000	-0.088668	0.012285
0.079000	0.534953	4.821505
0.080000	-0.088668	-0.328693
0.081000	0.300677	1.386240
0.082000	-0.166202	-0.678940
0.083000	-0.011133	3.447549
0.084000	0.379048	3.788528
0.085000	-0.088668	0.012285
0.086000	-0.322944	-2.740651
0.087000	0.145608	1.727600
0.088000	-0.011133	0.353264
0.089000	-0.167038	-1.366304
0.090000	-0.322107	-5.488551
0.091000	-0.088668	-0.678940
0.092000	-0.244573	-3.086263
0.093000	-0.244573	-4.460218
0.094000	-0.166202	-4.114977
0.095000	0.223979	1.727600
0.096000	0.145608	-0.334100
0.097000	-0.088668	-2.053658
0.098000	-0.322107	-5.147572
0.099000	0.379048	2.414583
0.100000	0.300677	1.381607
0.101000	0.068074	-1.366685
0.102000	-0.088668	-2.394636
0.103000	0.223979	2.750536
0.104000	0.223979	3.788528
0.105000	0.379048	1.035602
0.106000	0.145608	1.386240
0.107000	0.534953	5.157849
0.108000	0.534953	6.190826
0.109000	0.145608	1.727219
0.110000	-0.088668	1.381607
0.111000	0.456583	6.195078
0.112000	0.456583	4.816489
0.113000	0.300677	2.072831
0.114000	-0.167038	-1.025325
0.115000	0.612488	5.157849
0.116000	0.534953	3.787765
0.117000	-0.088668	-0.683965
0.118000	-0.322107	-5.143320
0.119000	0.145608	0.348238
0.120000	0.068074	-0.675079
0.121000	-0.166202	-3.427623
0.122000	-0.088668	-3.086645
0.123000	0.457419	2.068579
0.124000	0.379048	2.073223
0.125000	-0.088668	-3.432257
0.126000	-0.322107	-3.086645
0.127000	0.068074	0.698876
0.128000	0.145608	3.442915
0.129000	0.146445	-1.707664
0.130000	-0.244573	-3.432649
0.131000	0.379048	2.760196
0.132000	0.379048	4.130280
0.133000	0.456583	3.096911
0.134000	0.143936	0.699268
0.135000	0.612488	6.531804
0.136000	0.612488	5.849466
0.137000	0.456583	4.816097
0.138000	0.300677	0.703902
0.139000	0.379048	5.167509
0.140000	0.456583	5.503462
0.141000	0.068074	1.040247
0.142000	-0.088668	-1.020299
0.143000	0.145608	2.755933
