BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	14	14
Contact period end (sample #):	7999	7999
Contact period start time (s):	0.014000	0.014000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	808.729980	808.729980
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.453490	6.691677
0.001000	0.608559	8.411245
0.002000	0.531024	6.691677
0.003000	0.141679	0.849471
0.004000	0.063309	0.508503
0.005000	0.608559	7.720020
0.006000	0.686930	6.691677
0.007000	0.452654	3.602799
0.008000	0.141679	-0.178861
0.009000	0.608559	7.037682
0.010000	0.531024	5.322748
0.011000	0.375119	4.630369
0.012000	0.219214	1.541088
0.013000	0.841999	9.785200
0.014000	0.841999	10.131586
0.015000	0.841999	8.757249
0.016000	0.530188	5.668360
0.017000	0.686930	10.477198
0.018000	1.232180	13.566077
0.019000	0.452654	6.346065
0.020000	0.453490	4.975981
0.021000	0.841999	10.813924
0.022000	0.919533	11.505541
0.023000	0.453490	4.289009
0.024000	0.063309	0.849863
0.025000	0.452654	5.658701
0.026000	0.531024	7.378660
0.027000	0.375119	2.569430
0.028000	0.296748	1.541480
0.029000	0.686930	8.756857
0.030000	0.686930	8.074519
0.031000	0.531024	3.261439
0.032000	0.297585	0.854115
0.033000	0.531024	7.033037
0.034000	0.765301	9.439196
0.035000	0.531024	5.658701
0.036000	0.375119	3.256403
0.037000	0.686930	9.444221
0.038000	1.232180	15.281784
0.039000	0.686930	9.785200
0.040000	0.841999	9.439969
0.041000	0.841999	10.126168
0.042000	0.997904	12.533873
0.043000	0.531024	5.658701
0.044000	0.531024	3.948411
0.045000	0.609395	7.033037
0.046000	0.686930	8.411245
0.047000	0.375955	1.882066
0.048000	0.297585	0.166751
0.049000	0.531024	5.664108
0.050000	0.609395	7.728907
0.051000	0.452654	2.915043
0.052000	0.297585	1.195475
0.053000	0.686930	7.374016
0.054000	0.841999	7.720020
0.055000	0.375119	3.948411
0.056000	0.531024	4.630369
0.057000	1.154646	10.126560
0.058000	0.997904	10.818177
0.059000	0.686930	8.411245
0.060000	0.686930	8.070266
0.061000	0.765301	10.477198
0.062000	0.997904	13.220846
0.063000	0.686930	6.700945
0.064000	0.531024	7.037682
0.065000	0.686930	9.098609
0.066000	0.841999	11.159537
0.067000	0.453490	5.999679
0.068000	0.375119	1.541088
0.069000	0.375119	5.658701
0.070000	0.453490	6.691677
0.071000	0.375119	2.223426
0.072000	0.219214	1.195475
0.073000	0.608559	7.037682
0.074000	0.686930	8.411245
0.075000	0.453490	3.948411
0.076000	0.297585	1.541088
0.077000	0.686930	8.411245
0.078000	0.997904	11.164181
0.079000	0.763628	8.752224
0.080000	0.686930	7.728907
0.081000	0.765301	10.818177
0.082000	0.997904	12.874852
0.083000	0.608559	6.691677
0.084000	0.686930	9.098217
0.085000	0.608559	9.448855
0.086000	0.997904	12.879486
0.087000	0.531024	5.663716
0.088000	0.609395	6.004705
0.089000	0.531024	7.379042
0.090000	0.765301	9.785200
0.091000	0.375119	3.948411
0.092000	0.219214	1.199728
0.093000	0.453490	4.294024
0.094000	0.686930	7.037682
0.095000	0.375119	2.915424
0.096000	0.453490	2.905383
0.097000	0.375119	4.294024
0.098000	0.763628	8.065241
0.099000	0.609395	4.630369
0.100000	0.531024	4.630369
0.101000	0.841999	7.728907
0.102000	1.232180	13.561824
0.103000	0.920370	9.444221
0.104000	0.841999	9.444221
0.105000	0.531024	7.728907
0.106000	1.077111	14.253833
0.107000	0.686930	7.720020
0.108000	0.608559	7.728907
0.109000	0.608559	7.379042
0.110000	0.841999	11.159537
0.111000	0.296748	2.915043
0.112000	0.453490	2.915043
0.113000	0.453490	3.948411
0.114000	0.608559	7.720020
0.115000	0.375119	4.631131
0.116000	0.297585	1.882066
0.117000	-0.170967	-0.524484
0.118000	0.608559	8.070266
0.119000	0.608559	6.004705
0.120000	0.453490	3.607052
0.121000	0.375955	2.915043
0.122000	0.841999	9.103243
0.123000	0.609395	4.976744
0.124000	0.841999	9.444221
0.125000	0.531024	6.351080
0.126000	0.997904	13.561824
0.127000	0.608559	8.070266
0.128000	0.531024	6.009720
0.129000	0.219214	4.631131
0.130000	0.531024	9.098599
0.131000	0.531024	6.009720
0.132000	0.375119	3.948411
0.133000	0.141679	0.854497
0.134000	0.375119	3.939123
0.135000	0.219214	2.228452
0.136000	0.296748	1.541088
0.137000	0.219214	2.228452
0.138000	0.453490	6.346065
0.139000	0.453490	2.915424
0.140000	0.375119	1.199728
0.141000	0.140843	0.849863
0.142000	0.608559	7.379042
0.143000	0.296748	2.228452
0.144000	0.375119	3.607433
0.145000	0.220050	2.574064
0.146000	0.841999	11.159537
0.147000	0.841999	9.444603
0.148000	0.763628	9.444221
0.149000	0.375119	3.948411
0.150000	0.763628	10.482224
0.151000	0.531024	7.037682
0.152000	0.452654	5.668360
0.153000	0.219214	2.910790
