BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2943	2943
Contact period end (sample #):	7999	7999
Contact period start time (s):	2.943000	2.943000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	808.729980	808.729980
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.198747	-0.059641
0.001000	0.353816	1.655674
0.002000	0.042841	-1.096870
0.003000	0.042841	-1.779208
0.004000	0.198747	2.001679
0.005000	0.743997	5.432299
0.006000	0.353816	2.688651
0.007000	0.042841	0.622698
0.008000	0.510557	3.716602
0.009000	0.743997	6.469919
0.010000	0.353816	3.030011
0.011000	0.275445	3.030011
0.012000	0.042841	0.968692
0.013000	0.665626	5.782947
0.014000	0.120376	0.281719
0.015000	0.275445	1.309670
0.016000	0.042841	0.281719
0.017000	0.353816	3.030011
0.018000	0.120376	-1.092226
0.019000	-0.191435	-4.873504
0.020000	0.042005	-1.438230
0.021000	0.042841	-0.059641
0.022000	0.042841	-1.783461
0.023000	-0.035529	-2.807541
0.024000	-0.113064	-3.499157
0.025000	0.198747	0.968702
0.026000	0.198747	-0.059641
0.027000	-0.191435	-3.153545
0.028000	0.042841	-1.437848
0.029000	-0.035529	-1.433204
0.030000	0.120376	-1.097251
0.031000	0.042841	-0.401001
0.032000	0.120376	0.281719
0.033000	0.588092	4.408219
0.034000	0.510557	2.688651
0.035000	0.353816	3.029630
0.036000	0.120376	1.309670
0.037000	0.588092	6.469919
0.038000	0.588092	3.029630
0.039000	0.431350	2.001679
0.040000	0.042841	-1.096870
0.041000	0.510557	4.745326
0.042000	0.588092	3.721246
0.043000	0.275445	2.343039
0.044000	-0.035529	-1.438230
0.045000	0.198747	2.342265
0.046000	-0.035529	-1.092226
0.047000	-0.113064	-4.181496
0.048000	-0.347340	-5.219117
0.049000	0.120376	0.968702
0.050000	0.120376	-0.746623
0.051000	-0.190598	-3.840517
0.052000	-0.113064	-3.153545
0.053000	0.198747	2.001287
0.054000	0.042841	-1.087983
0.055000	0.042841	-2.120950
0.056000	-0.347340	-5.560477
0.057000	0.120376	0.968310
0.058000	0.042841	-1.096870
0.059000	0.120376	-0.405645
0.060000	-0.035529	-2.812566
0.061000	0.275445	2.688651
0.062000	0.120376	1.314314
0.063000	0.353816	2.342647
0.064000	0.120376	0.627332
0.065000	0.821531	7.497881
0.066000	0.510557	3.716602
0.067000	0.198747	3.029630
0.068000	0.120376	2.001287
0.069000	0.510557	4.745326
0.070000	0.353816	3.716602
0.071000	0.042005	0.281719
0.072000	-0.035529	0.281338
0.073000	0.120376	2.001287
0.074000	0.120376	0.622698
0.075000	-0.035529	-1.783842
0.076000	-0.268969	-4.532526
0.077000	0.042841	-0.405645
0.078000	0.042841	-1.783842
0.079000	0.042841	-2.812566
0.080000	-0.113064	-3.840517
0.081000	0.198747	1.314314
0.082000	0.120376	-0.059641
0.083000	0.042841	-1.783842
0.084000	-0.346504	-6.247841
0.085000	0.198747	0.968310
0.086000	0.042005	-1.442482
0.087000	0.120376	-0.755891
0.088000	-0.191435	-4.532526
0.089000	0.510557	3.716994
0.090000	0.353816	2.342647
0.091000	0.120376	1.314314
0.092000	0.120376	2.001287
0.093000	0.588092	5.090939
0.094000	0.431350	4.745326
0.095000	0.353816	2.342647
0.096000	0.120376	-0.059641
0.097000	0.431350	5.782947
0.098000	0.665626	6.464904
0.099000	0.042841	-0.059641
0.100000	-0.113064	-1.783461
0.101000	0.353816	2.688651
0.102000	0.120376	2.001287
0.103000	-0.035529	-1.438230
0.104000	-0.424874	-5.906481
0.105000	0.042841	0.286745
0.106000	-0.035529	-2.461536
0.107000	-0.113064	-0.747005
0.108000	-0.113064	-4.532526
0.109000	0.198747	1.997034
0.110000	-0.035529	-1.779208
0.111000	-0.347340	-4.532526
0.112000	-0.424874	-7.621415
0.113000	0.120376	-0.405264
0.114000	-0.113064	-1.784234
0.115000	-0.113064	-3.835883
0.116000	-0.424874	-7.621415
0.117000	0.042841	-1.433204
0.118000	0.275445	1.314696
0.119000	-0.191435	-2.811804
0.120000	0.120376	0.281719
0.121000	0.120376	1.314696
0.122000	0.588092	5.090939
0.123000	-0.035529	-0.400619
0.124000	-0.113064	-1.437848
0.125000	0.120376	2.693285
0.126000	0.120376	3.034263
0.127000	-0.113064	-1.096870
0.128000	-0.424874	-4.532144
0.129000	-0.269805	-0.059259
0.130000	0.042005	0.968692
0.131000	-0.347340	-3.840136
0.132000	-0.347340	-6.593453
0.133000	-0.113064	-2.465799
0.134000	-0.113064	-2.811804
0.135000	-0.191435	-4.873504
0.136000	-0.424874	-6.588438
0.137000	-0.191435	-1.437848
0.138000	0.120376	-0.405645
0.139000	-0.347340	-6.588438
0.140000	-0.191435	-4.532526
0.141000	-0.113064	-1.783461
0.142000	0.042005	0.281719
0.143000	-0.268969	-5.219117
0.144000	-0.268969	-5.560477
0.145000	0.042841	0.281719
