BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	758	758
Contact period end (sample #):	7928	7928
Contact period start time (s):	0.758000	0.758000
Contact period end time (s):	7.928000	7.928000
First sample time (s):	0.000000	0.000000
Normalized force (N):	808.729980	808.729980
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.315977	5.782362
0.001000	0.471882	6.127974
0.002000	0.238442	2.010753
0.003000	0.083373	0.286160
0.004000	-0.072532	0.290804
0.005000	0.005003	1.319137
0.006000	-0.384342	-3.840339
0.007000	-0.072532	0.631783
0.008000	-0.072532	-1.774376
0.009000	0.238442	1.664368
0.010000	-0.384342	-5.205398
0.011000	-0.150903	-1.774768
0.012000	-0.072532	-2.808136
0.013000	0.316813	2.351732
0.014000	0.005003	-1.087403
0.015000	-0.150903	-1.433789
0.016000	0.005003	-1.087785
0.017000	0.628624	5.777336
0.018000	0.394348	5.095390
0.019000	0.083373	3.034452
0.020000	0.005003	0.632164
0.021000	0.471882	5.441002
0.022000	0.471882	5.781970
0.023000	0.238442	2.351732
0.024000	-0.072532	0.290804
0.025000	0.316813	3.380456
0.026000	-0.072532	-0.055200
0.027000	-0.072532	-3.495108
0.028000	-0.695317	-7.271351
0.029000	0.316813	2.351732
0.030000	0.316813	0.977777
0.031000	0.238442	-0.055200
0.032000	-0.228437	-5.215057
0.033000	0.005003	-0.055200
0.034000	0.083373	1.664759
0.035000	-0.072532	-1.438423
0.036000	-0.072532	-2.116128
0.037000	0.238442	1.319137
0.038000	0.315977	5.090745
0.039000	0.238442	2.351732
0.040000	0.394348	4.408026
0.041000	0.394348	5.094998
0.042000	0.628624	8.534525
0.043000	0.160072	0.632164
0.044000	0.005003	0.977777
0.045000	0.315977	5.094998
0.046000	0.471882	7.843300
0.047000	0.160072	0.631783
0.048000	-0.150903	-3.840721
0.049000	-0.306808	-1.774768
0.050000	0.005003	-0.055200
0.051000	0.005003	-1.087785
0.052000	0.005003	-1.087785
0.053000	0.005003	-1.092429
0.054000	0.005003	1.664368
0.055000	0.005003	-1.774768
0.056000	-0.306808	-2.461740
0.057000	-0.072532	-1.774768
0.058000	0.238442	3.034452
0.059000	0.005003	-0.055200
0.060000	0.316813	2.010372
0.061000	0.005003	0.977777
0.062000	0.628624	8.534906
0.063000	0.551089	5.094998
0.064000	0.238442	3.034452
0.065000	0.160072	0.973143
0.066000	0.238442	4.413433
0.067000	0.315977	5.094998
0.068000	0.083373	1.318755
0.069000	-0.229273	-2.116128
0.070000	-0.150903	-0.746425
0.071000	0.083373	-0.055200
0.072000	-0.228437	-5.556428
0.073000	-0.150903	-4.186725
0.074000	0.238442	0.977777
0.075000	0.083373	1.318755
0.076000	-0.150903	-2.461740
0.077000	-0.228437	-4.869053
0.078000	0.005003	1.318755
0.079000	0.160072	0.631772
0.080000	0.005003	-0.055200
0.081000	0.005003	-1.770123
0.082000	0.471882	5.431724
0.083000	0.628624	6.468953
0.084000	0.316813	2.697736
0.085000	0.316813	4.408026
0.086000	0.471882	6.127974
0.087000	0.628624	8.193546
0.088000	0.005003	0.977777
0.089000	0.005003	1.318755
0.090000	0.160072	1.660115
0.091000	0.238442	4.403381
0.092000	-0.150903	-2.803100
0.093000	-0.072532	-3.840721
0.094000	-0.228437	-3.153749
0.095000	0.238442	2.351732
0.096000	-0.072532	-0.396560
0.097000	0.005003	-1.087785
0.098000	-0.072532	-1.433789
0.099000	0.005003	1.318755
0.100000	-0.072532	-1.087785
0.101000	-0.072532	-1.092429
0.102000	0.005003	-0.055200
0.103000	0.394348	5.435976
0.104000	0.551089	4.753638
0.105000	0.316813	2.005728
0.106000	0.005003	0.631772
0.107000	0.706994	7.502322
0.108000	0.316813	4.403381
0.109000	0.238442	1.664749
0.110000	-0.462713	-4.181318
0.111000	0.238442	3.726068
0.112000	0.083373	0.631772
0.113000	-0.150903	-2.120380
0.114000	-0.540248	-6.589013
0.115000	-0.306808	-3.494727
0.116000	-0.306808	-3.494727
0.117000	-0.229273	-4.182091
0.118000	-0.462713	-6.243019
0.119000	-0.072532	-0.401204
0.120000	0.005003	0.977777
0.121000	-0.461877	-5.215057
0.122000	-0.462713	-5.556036
0.123000	0.005003	-0.055200
0.124000	0.238442	3.380064
0.125000	0.005003	-0.055200
0.126000	-0.150903	-0.396178
0.127000	0.238442	4.408026
0.128000	0.160072	3.039086
0.129000	-0.306808	-0.055200
0.130000	-0.150903	-1.087403
0.131000	0.005003	2.351340
0.132000	0.160072	2.693473
0.133000	-0.150903	-1.433408
0.134000	-0.384342	-3.840339
0.135000	-0.306808	-2.116128
0.136000	-0.072532	-0.396178
0.137000	-0.462713	-6.243019
0.138000	-0.384342	-5.210423
0.139000	-0.462713	-5.551402
0.140000	0.160072	2.351732
0.141000	-0.072532	-3.149115
0.142000	-0.150903	-2.461740
0.143000	-0.462713	-5.897014
0.144000	0.005003	0.286160
0.145000	-0.150903	-1.774768
