BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	1410	1410
Contact period end (sample #):	7999	7999
Contact period start time (s):	1.410000	1.410000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	808.729980	808.729980
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.183629	1.781012
0.001000	0.027724	-3.719834
0.002000	-0.127345	-1.658504
0.003000	0.106095	1.094030
0.004000	0.339535	5.215895
0.005000	0.339535	3.496709
0.006000	0.339535	1.435008
0.007000	0.261164	2.467985
0.008000	0.572974	9.337750
0.009000	0.495440	5.557255
0.010000	0.339535	3.842322
0.011000	-0.050647	0.065697
0.012000	0.339535	5.898615
0.013000	0.182793	1.781012
0.014000	0.261164	2.467985
0.015000	-0.362457	-3.719834
0.016000	0.339535	2.467985
0.017000	0.183629	-0.280699
0.018000	-0.205716	-2.341234
0.019000	-0.205716	-4.402554
0.020000	0.105259	1.435390
0.021000	0.262000	3.150705
0.022000	-0.439992	-4.065446
0.023000	-0.595061	-5.439783
0.024000	-0.283250	-2.340853
0.025000	0.027724	1.781002
0.026000	-0.283250	-2.686847
0.027000	0.027724	-0.621285
0.028000	0.027724	0.752670
0.029000	0.339535	4.870654
0.030000	0.106095	2.467985
0.031000	-0.127345	0.407057
0.032000	0.183629	3.155339
0.033000	0.261164	4.529294
0.034000	0.027724	0.412073
0.035000	0.027724	-0.279925
0.036000	-0.362457	-2.340080
0.037000	0.183629	2.131640
0.038000	-0.050647	-0.279925
0.039000	-0.283250	-4.056158
0.040000	-0.517526	-6.813738
0.041000	-0.362457	-1.999493
0.042000	-0.127345	-1.653489
0.043000	-0.127345	-1.653870
0.044000	-0.283250	-5.089145
0.045000	0.027724	0.402413
0.046000	0.027724	-0.280307
0.047000	-0.283250	-3.378855
0.048000	-0.517526	-4.748166
0.049000	-0.050647	1.094030
0.050000	0.105259	2.127006
0.051000	-0.283250	-3.027825
0.052000	0.027724	0.065687
0.053000	0.027724	1.098664
0.054000	0.339535	5.562270
0.055000	0.183629	2.467985
0.056000	-0.127345	0.757304
0.057000	-0.205716	0.066079
0.058000	0.182793	3.842322
0.059000	0.105259	0.753051
0.060000	0.105259	1.439642
0.061000	-0.283250	-2.686465
0.062000	0.027724	0.411691
0.063000	0.027724	-1.653870
0.064000	-0.517526	-6.122121
0.065000	-0.439992	-5.089145
0.066000	-0.517526	-2.340853
0.067000	0.106095	0.748417
0.068000	-0.439992	-4.748166
0.069000	-0.595061	-5.443654
0.070000	-0.127345	0.407057
0.071000	-0.517526	-2.345105
0.072000	-0.439992	-3.037495
0.073000	-0.595897	-6.468126
0.074000	-0.050647	0.748417
0.075000	0.417069	3.159602
0.076000	0.105259	0.753051
0.077000	0.027724	-0.274900
0.078000	0.417069	6.244228
0.079000	0.339535	4.875298
0.080000	0.105259	1.094030
0.081000	-0.127345	0.407057
0.082000	-0.048974	1.781002
0.083000	0.339535	5.898615
0.084000	-0.439992	-2.340853
0.085000	-0.205716	-1.999874
0.086000	-0.595897	-5.430505
0.087000	-0.205716	-0.967290
0.088000	-0.127345	-1.999874
0.089000	-0.205716	-4.060812
0.090000	-0.283250	-5.435530
0.091000	-0.205716	-0.971150
0.092000	-0.205716	-2.340853
0.093000	-0.283250	-3.719452
0.094000	-0.517526	-5.439783
0.095000	0.106095	-0.279925
0.096000	0.027724	1.094030
0.097000	-0.204879	-3.027825
0.098000	-0.205716	-1.999874
0.099000	0.105259	3.496317
0.100000	0.417069	7.968821
0.101000	0.026888	1.439642
0.102000	-0.050647	0.066079
0.103000	0.495440	7.277215
0.104000	0.105259	3.842322
0.105000	0.105259	1.440034
0.106000	-0.205716	-0.967290
0.107000	0.105259	1.094030
0.108000	0.027724	0.407047
0.109000	-0.283250	-3.378474
0.110000	-0.283250	-4.748166
0.111000	-0.283250	-3.027825
0.112000	0.027724	-0.621285
0.113000	0.027724	-2.350523
0.114000	-0.439992	-5.435149
0.115000	-0.439992	-5.435149
0.116000	0.105259	1.094030
0.117000	-0.127345	-1.999874
0.118000	-0.439992	-3.719834
0.119000	-0.595061	-6.467734
0.120000	-0.127345	0.061053
0.121000	0.183629	2.127006
0.122000	0.105259	1.099055
0.123000	-0.050647	-0.621285
0.124000	0.417069	5.898615
0.125000	0.339535	4.529294
0.126000	0.026888	-0.279925
0.127000	0.027724	0.407047
0.128000	-0.050647	1.098664
0.129000	0.417069	4.875298
0.130000	-0.205716	-1.999874
0.131000	-0.283250	-2.686465
0.132000	-0.283250	-1.312510
0.133000	0.106095	0.752670
0.134000	0.183629	-0.966887
0.135000	-0.517526	-5.439783
0.136000	-0.751802	-7.495695
0.137000	0.106095	1.781002
0.138000	-0.439992	-3.374221
0.139000	-0.204879	-3.378474
0.140000	-0.204879	-3.032459
0.141000	-0.050647	-0.621285
0.142000	0.027724	-0.279925
0.143000	-0.439992	-4.065446
