BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	2416	2416
Contact period end (sample #):	7999	7999
Contact period start time (s):	2.416000	2.416000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	703.599976	703.599976
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.161129	2.422781
0.001000	-0.150682	0.703213
0.002000	-0.072311	-3.077674
0.003000	-0.540027	-3.760012
0.004000	0.161129	3.450732
0.005000	-0.072311	-0.670731
0.006000	-0.228216	-4.110650
0.007000	-0.149845	1.048826
0.008000	0.082758	2.422781
0.009000	-0.618398	-7.199921
0.010000	0.161129	3.110145
0.011000	-0.150682	-2.040053
0.012000	-0.384958	-4.110650
0.013000	0.472103	7.236253
0.014000	-0.228216	-4.452010
0.015000	-0.384958	-4.452010
0.016000	0.161129	4.138096
0.017000	-0.228216	-2.732061
0.018000	-0.150682	-2.040053
0.019000	0.317034	4.138096
0.020000	-0.618398	-6.167325
0.021000	0.083594	1.735809
0.022000	0.005224	1.044192
0.023000	-0.073147	-1.699476
0.024000	-0.228216	-3.423678
0.025000	0.005224	0.703213
0.026000	0.005224	0.020493
0.027000	-0.618398	-6.166944
0.028000	0.005224	2.422781
0.029000	0.082758	1.048826
0.030000	-0.384958	-5.479961
0.031000	0.160293	4.484100
0.032000	-0.072311	-0.661464
0.033000	-0.384958	-4.106398
0.034000	0.082758	3.797118
0.035000	-0.384958	-5.134349
0.036000	-0.228216	-3.419034
0.037000	0.550474	6.203668
0.038000	-0.072311	-1.358096
0.039000	-0.072311	0.020493
0.040000	0.005224	1.048826
0.041000	-0.384958	-4.110650
0.042000	-0.228216	-2.039671
0.043000	0.005224	0.703213
0.044000	0.005224	0.703213
0.045000	-0.384958	-4.106006
0.046000	0.005224	1.048826
0.047000	0.082758	1.735809
0.048000	-0.463329	-5.479961
0.049000	0.004387	2.423162
0.050000	-0.072311	0.361472
0.051000	-0.540027	-5.138601
0.052000	0.161129	3.797118
0.053000	-0.228216	-3.419034
0.054000	-0.540027	-6.162300
0.055000	0.238663	4.825460
0.056000	-0.930208	-10.625144
0.057000	0.082758	0.357209
0.058000	0.317034	4.829713
0.059000	-0.150682	-2.040053
0.060000	0.005224	0.366106
0.061000	0.083594	1.735809
0.062000	0.005224	0.020112
0.063000	0.082758	1.730783
0.064000	0.006060	2.418137
0.065000	0.238663	3.450742
0.066000	-0.228216	-3.082689
0.067000	0.161129	2.422781
0.068000	0.238663	3.105119
0.069000	-0.150682	-4.106006
0.070000	0.472103	6.203668
0.071000	0.628008	5.166057
0.072000	-0.384958	-3.419034
0.073000	0.395405	6.894893
0.074000	-0.150682	-2.045068
0.075000	-0.072311	-0.671113
0.076000	0.472103	6.545028
0.077000	0.005224	-1.352688
0.078000	0.239500	2.768404
0.079000	0.082758	2.768785
0.080000	0.161129	0.020493
0.081000	0.083594	2.422400
0.082000	-0.072311	0.698188
0.083000	0.005224	0.366106
0.084000	0.005224	-2.040053
0.085000	0.161129	3.797118
0.086000	0.239500	2.763759
0.087000	-0.228216	-4.797623
0.088000	0.082758	2.418528
0.089000	0.628008	6.198642
0.090000	-0.150682	-2.737077
0.091000	0.317034	5.175325
0.092000	-0.384958	-2.045068
0.093000	0.005224	-1.358096
0.094000	0.317034	5.170691
0.095000	-0.072311	-1.358096
0.096000	-0.072311	-0.325511
0.097000	0.238663	4.138096
0.098000	0.082758	0.361472
0.099000	0.317034	4.483719
0.100000	0.161129	1.735809
0.101000	0.161129	1.389804
0.102000	0.161129	2.763759
0.103000	0.161129	2.077169
0.104000	0.395405	4.484100
0.105000	-0.150682	-2.045068
0.106000	0.161129	3.796736
0.107000	0.161129	2.768785
0.108000	-0.150682	-4.452010
0.109000	0.238663	5.171083
0.110000	0.161129	3.792484
0.111000	0.005224	-1.703708
0.112000	0.472103	7.918972
0.113000	-0.150682	-3.419034
0.114000	-0.072311	-3.419034
0.115000	0.238663	6.540394
0.116000	0.161129	1.731164
0.117000	0.238663	2.763759
0.118000	0.005224	1.389804
0.119000	0.005224	1.044192
0.120000	0.082758	2.076787
0.121000	0.239500	3.109764
0.122000	0.082758	1.389804
0.123000	-0.072311	-1.358096
0.124000	0.161129	1.385552
0.125000	0.395405	4.824687
0.126000	-0.384958	-4.798015
0.127000	0.238663	3.796736
0.128000	0.082758	2.427425
0.129000	-0.150682	-2.391464
0.130000	0.472103	6.203668
0.131000	0.161129	1.389804
0.132000	-0.072311	-2.737077
0.133000	0.317034	5.858056
0.134000	-0.072311	-2.045068
0.135000	0.005224	0.361472
0.136000	0.317034	5.512051
0.137000	0.005224	-0.325892
0.138000	0.239500	3.797128
0.139000	-0.073147	1.044192
0.140000	-0.073147	0.020493
0.141000	0.083594	2.076787
0.142000	0.161129	2.764141
0.143000	0.239500	3.450742
0.144000	-0.072311	-1.358096
0.145000	0.083594	1.731164
0.146000	0.238663	4.483709
