BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	119	119
Contact period end (sample #):	7997	7997
Contact period start time (s):	0.119000	0.119000
Contact period end time (s):	7.997000	7.997000
First sample time (s):	0.000000	0.000000
Normalized force (N):	703.599976	703.599976
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.723655	-7.061308
0.001000	-0.334310	-2.588804
0.002000	0.601121	5.659953
0.003000	-0.489379	-4.649731
0.004000	-0.022500	1.532670
0.005000	-0.178405	0.500466
0.006000	-0.489379	-6.374717
0.007000	-0.256776	-0.528258
0.008000	0.055035	0.163359
0.009000	-0.256776	-1.556219
0.010000	-0.256776	-1.901440
0.011000	-0.100870	0.845687
0.012000	-0.100870	-0.528258
0.013000	-0.255939	-3.275776
0.014000	-0.022500	1.533051
0.015000	-0.022500	1.187057
0.016000	-0.255939	-4.304119
0.017000	0.133406	3.935349
0.018000	-0.489379	-5.341740
0.019000	-0.567750	-4.304119
0.020000	0.678656	7.720488
0.021000	-0.489379	-5.687352
0.022000	-0.489379	-2.588804
0.023000	-0.022500	1.187439
0.024000	-0.100034	-1.565487
0.025000	0.055871	1.528417
0.026000	-0.100034	-0.864602
0.027000	-0.334310	-5.683100
0.028000	-0.100034	0.846079
0.029000	-0.100870	0.154462
0.030000	0.055035	1.532670
0.031000	-0.255939	-1.902203
0.032000	-0.100034	-0.181883
0.033000	-0.256776	-2.588804
0.034000	-0.411008	-3.963140
0.035000	0.055871	2.561394
0.036000	-0.255939	-2.588804
0.037000	-0.100034	-0.533283
0.038000	0.055035	2.902754
0.039000	-0.646121	-7.402668
0.040000	-0.255939	-2.930164
0.041000	0.366009	5.996668
0.042000	-0.489379	-6.374717
0.043000	-0.255939	-1.565487
0.044000	0.055871	2.561012
0.045000	-0.255939	-3.963140
0.046000	-0.022500	1.528025
0.047000	-0.100034	-0.882767
0.048000	-0.489379	-6.374717
0.049000	-0.334310	-1.556219
0.050000	0.132569	2.566038
0.051000	0.055035	1.532670
0.052000	-0.801190	-8.089650
0.053000	-0.022500	0.841434
0.054000	-0.100034	-1.219483
0.055000	-0.411008	-3.621781
0.056000	0.210940	5.996668
0.057000	-0.489379	-3.621781
0.058000	-0.255939	-3.621781
0.059000	0.055035	3.248366
0.060000	-0.334310	-5.342121
0.061000	-0.567750	-3.621781
0.062000	0.210940	5.314330
0.063000	-0.645284	-7.402668
0.064000	-0.100034	0.495441
0.065000	-0.100034	-0.873499
0.066000	-0.178405	-3.621781
0.067000	-0.178405	0.841053
0.068000	-0.178405	-1.219483
0.069000	-0.412681	-5.341740
0.070000	-0.255939	-1.897579
0.071000	-0.022500	0.846079
0.072000	-0.178405	-0.527495
0.073000	-0.957931	-7.748672
0.074000	-0.100870	0.846079
0.075000	-0.022500	-0.528258
0.076000	-0.334310	-4.313789
0.077000	0.367682	7.033506
0.078000	-0.489379	-5.000761
0.079000	-0.489379	-4.308372
0.080000	0.367682	6.001302
0.081000	-0.255939	-3.275776
0.082000	0.055871	1.532670
0.083000	0.290147	4.972970
0.084000	-0.332638	-3.963140
0.085000	-0.100034	0.500466
0.086000	0.055871	1.528417
0.087000	-0.255939	-3.280421
0.088000	-0.022500	1.869396
0.089000	0.055871	1.187057
0.090000	0.133406	0.504337
0.091000	-0.334310	-4.990710
0.092000	0.367682	3.939602
0.093000	-0.178405	-0.191542
0.094000	-0.255939	-4.308753
0.095000	0.055871	2.561394
0.096000	-0.100034	-0.536763
0.097000	-0.255939	-2.939824
0.098000	0.678656	6.688285
0.099000	-0.723655	-7.057055
0.100000	-0.412681	-4.308753
0.101000	0.133406	3.594371
0.102000	-0.178405	-3.275776
0.103000	-0.100034	0.154462
0.104000	0.290147	3.248377
0.105000	-0.255939	-3.621781
0.106000	-0.178405	-0.874262
0.107000	-0.022500	1.187057
0.108000	-0.022500	-1.560843
0.109000	-0.022500	0.163359
0.110000	0.133406	2.220034
0.111000	-0.100870	0.841053
0.112000	-0.334310	-4.650113
0.113000	-0.023336	0.841434
0.114000	0.133406	2.561012
0.115000	-0.255939	-3.963140
0.116000	0.133406	4.276328
0.117000	-0.100034	-1.560843
0.118000	-0.178405	-3.621781
0.119000	0.834561	10.122776
0.120000	-0.255939	-3.963140
0.121000	-0.255939	-4.308753
0.122000	0.210940	5.314330
0.123000	-0.100034	-2.939824
0.124000	0.055871	1.528417
0.125000	-0.022500	0.495441
0.126000	-0.177569	-2.939824
0.127000	-0.100034	0.841053
0.128000	0.055035	2.215008
0.129000	0.055035	-1.210215
0.130000	-0.022500	0.163359
0.131000	0.133406	2.220034
0.132000	0.133406	2.901981
0.133000	-0.489379	-5.341740
0.134000	0.133406	2.902372
0.135000	0.212613	2.215008
0.136000	-0.334310	-3.963140
0.137000	0.367682	5.314330
0.138000	-0.178405	-2.934808
0.139000	-0.255939	-3.617136
0.140000	0.601121	7.725514
0.141000	-0.489379	-4.304119
