BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	7999	7999
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	703.599976	703.599976
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	0.349190	11.240502
0.001000	-0.352802	0.935080
0.002000	-0.352802	1.276440
0.003000	0.270820	11.581861
0.004000	-0.352802	1.622053
0.005000	-0.040991	3.337368
0.006000	0.114914	9.179182
0.007000	-0.040991	4.028984
0.008000	0.114914	5.398687
0.009000	-0.197733	4.024732
0.010000	-0.353638	1.963412
0.011000	0.037380	5.398687
0.012000	-0.118525	5.744300
0.013000	0.037380	6.771869
0.014000	-0.352802	1.271796
0.015000	-0.040991	6.080252
0.016000	0.114914	6.089912
0.017000	-0.742147	-1.471460
0.018000	0.037380	8.487957
0.019000	-0.040155	4.711704
0.020000	-0.275267	1.617419
0.021000	0.036544	7.463878
0.022000	0.037380	4.711323
0.023000	-0.431172	0.239211
0.024000	0.349190	11.932118
0.025000	-0.586241	-1.471852
0.026000	-0.507870	0.930436
0.027000	-0.040991	7.465022
0.028000	-0.352802	0.935070
0.029000	-0.275267	2.304772
0.030000	-0.275267	4.711704
0.031000	-0.664612	0.244237
0.032000	-0.275267	4.028984
0.033000	-0.586241	1.622434
0.034000	-0.431172	0.930817
0.035000	-0.275267	2.991363
0.036000	-0.352802	2.996389
0.037000	-0.118525	4.370344
0.038000	-0.664612	-0.443128
0.039000	-0.275267	4.715957
0.040000	-0.353638	4.029366
0.041000	-0.898888	-3.537424
0.042000	-0.275267	4.024340
0.043000	-0.275267	4.711704
0.044000	-0.586241	0.589457
0.045000	0.036544	8.497225
0.046000	-0.742147	-0.447772
0.047000	-0.586241	-0.789132
0.048000	0.192449	9.184589
0.049000	-0.586241	-0.789132
0.050000	-0.586241	0.589457
0.051000	-0.118525	6.778050
0.052000	-0.586241	0.589457
0.053000	-0.275267	2.996389
0.054000	-0.352802	4.711704
0.055000	-0.507870	0.589457
0.056000	-0.431172	3.682980
0.057000	-0.664612	1.276048
0.058000	-0.040991	4.711704
0.059000	-0.275267	2.309417
0.060000	-0.275267	4.711704
0.061000	-0.275267	4.711323
0.062000	-0.976423	-3.532790
0.063000	-0.040991	4.024340
0.064000	-0.040991	6.772632
0.065000	-0.431172	-0.102149
0.066000	-0.275267	4.024340
0.067000	-0.118525	5.057709
0.068000	-0.586241	-0.448153
0.069000	-0.040991	7.806000
0.070000	-0.664612	-0.443128
0.071000	-0.586241	0.248097
0.072000	-0.040991	5.403321
0.073000	-0.040991	4.028984
0.074000	-0.353638	1.622053
0.075000	0.036544	9.520542
0.076000	-0.431172	2.309025
0.077000	-0.197733	4.711704
0.078000	-0.431172	1.963412
0.079000	-0.276103	3.337368
0.080000	-0.197733	4.370344
0.081000	-0.275267	3.337368
0.082000	-0.118525	5.057317
0.083000	-0.431172	2.309025
0.084000	-0.353638	2.996389
0.085000	0.036544	8.497225
0.086000	-0.742147	-1.817464
0.087000	-0.431172	2.309417
0.088000	0.114914	9.179182
0.089000	-0.586241	-1.471852
0.090000	0.036544	7.805217
0.091000	0.114914	8.146598
0.092000	-0.664612	-0.443128
0.093000	-0.118525	5.743908
0.094000	-0.275267	2.996389
0.095000	-0.742147	0.589457
0.096000	-0.040991	7.795949
0.097000	-0.353638	2.996389
0.098000	-0.352802	1.963412
0.099000	-0.353638	4.029366
0.100000	-0.275267	4.028984
0.101000	-0.197733	4.029366
0.102000	-0.742147	-0.101768
0.103000	-0.431172	2.996389
0.104000	-0.431172	1.963412
0.105000	-0.431172	3.337749
0.106000	0.114914	6.431653
0.107000	-0.431172	1.276821
0.108000	-0.509543	0.935462
0.109000	0.114914	10.553519
0.110000	-0.742147	-3.186394
0.111000	-0.275267	3.682980
0.112000	-0.197733	8.155865
0.113000	-0.664612	-0.443128
0.114000	-0.118525	6.081015
0.115000	-0.275267	4.370726
0.116000	-0.586241	0.244237
0.117000	-0.275267	6.081407
0.118000	-0.586241	1.617800
0.119000	-0.664612	-0.101768
0.120000	-0.275267	6.086041
0.121000	-0.353638	3.337749
0.122000	-0.431172	3.337749
0.123000	-0.352802	2.991374
0.124000	-0.275267	4.711704
0.125000	-0.275267	4.369963
0.126000	-0.586241	1.276440
0.127000	-0.118525	4.711704
0.128000	-0.352802	2.991363
0.129000	-0.431172	1.622053
0.130000	0.270820	10.212159
0.131000	-0.742147	-0.443128
0.132000	-0.275267	3.337368
0.133000	0.037380	8.838585
0.134000	-0.742147	-1.817464
0.135000	-0.509543	1.959160
0.136000	0.114914	8.838585
0.137000	-0.586241	0.594102
0.138000	-0.353638	3.683753
0.139000	-0.275267	4.366092
0.140000	-0.586241	-0.102149
0.141000	-0.431172	5.403321
0.142000	-0.352802	2.996389
0.143000	-0.664612	1.276440
0.144000	-0.431172	3.683372
