BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	43	43
Contact period end (sample #):	7731	7731
Contact period start time (s):	0.043000	0.043000
Contact period end time (s):	7.731000	7.731000
First sample time (s):	0.000000	0.000000
Normalized force (N):	703.599976	703.599976
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.626875	-4.104581
0.001000	0.152651	4.826112
0.002000	-0.080789	-2.389658
0.003000	-0.159159	-1.361696
0.004000	0.464462	8.271057
0.005000	-0.626875	-5.133305
0.006000	-0.315901	-3.076630
0.007000	0.230186	5.859481
0.008000	-0.549341	-3.076630
0.009000	0.074280	3.452167
0.010000	-0.081625	1.732208
0.011000	-0.159159	-3.422243
0.012000	-0.081625	0.017284
0.013000	-0.003254	2.078593
0.014000	-0.003254	2.760551
0.015000	-0.159159	-2.730626
0.016000	0.230186	3.456801
0.017000	-0.003254	0.704267
0.018000	-0.470970	-3.758969
0.019000	0.152651	4.139140
0.020000	-0.003254	1.737233
0.021000	-0.549341	-4.791945
0.022000	0.541160	7.579048
0.023000	-0.314228	-3.763602
0.024000	-0.081625	-0.674724
0.025000	0.229349	6.546453
0.026000	-0.081625	-2.389266
0.027000	-0.314228	-1.356681
0.028000	0.230186	4.826504
0.029000	-0.314228	-2.730626
0.030000	-0.081625	1.046009
0.031000	0.151815	2.424216
0.032000	-0.470970	-3.417990
0.033000	-0.081625	0.708128
0.034000	0.075117	2.765184
0.035000	0.152651	3.456801
0.036000	-0.548504	-4.450967
0.037000	0.152651	3.798172
0.038000	-0.003254	1.737233
0.039000	-0.159159	-1.361696
0.040000	0.308556	5.859481
0.041000	-0.238366	-1.361696
0.042000	-0.470970	-3.076630
0.043000	1.009712	13.415847
0.044000	-0.314228	-3.763602
0.045000	-0.003254	0.016903
0.046000	0.230186	4.831138
0.047000	-0.080789	-2.730626
0.048000	-0.003254	-0.664673
0.049000	0.151815	3.111189
0.050000	-0.470970	-1.006032
0.051000	-0.080789	0.363289
0.052000	-0.080789	2.419572
0.053000	0.075117	1.395492
0.054000	-0.315901	-2.389266
0.055000	0.152651	3.452549
0.056000	-0.003254	3.106555
0.057000	-0.159159	-2.048669
0.058000	0.308556	5.172116
0.059000	0.230186	3.793527
0.060000	-0.159159	-2.048669
0.061000	0.931341	10.668318
0.062000	-0.470970	-3.422243
0.063000	-0.080789	-2.730626
0.064000	0.619531	7.579048
0.065000	0.074280	1.395492
0.066000	0.230186	3.797780
0.067000	0.308556	5.176761
0.068000	-0.159159	-1.011048
0.069000	0.230186	4.485144
0.070000	0.074280	3.452167
0.071000	0.308556	3.793527
0.072000	0.464462	4.484763
0.073000	0.230186	4.139140
0.074000	0.230186	3.106163
0.075000	-0.159159	-3.417990
0.076000	0.230186	5.517739
0.077000	0.230186	4.485144
0.078000	-0.003254	-1.703056
0.079000	0.386091	6.546071
0.080000	0.152651	1.395492
0.081000	-0.081625	-1.361696
0.082000	0.853807	9.640759
0.083000	-0.080789	-1.703056
0.084000	0.074280	1.381961
0.085000	0.308556	5.508842
0.086000	0.230186	1.728347
0.087000	0.231022	2.765184
0.088000	0.074280	3.452167
0.089000	-0.003254	-2.730626
0.090000	0.230186	3.793146
0.091000	0.386091	5.859099
0.092000	-0.003254	2.078212
0.093000	-0.080789	-1.703056
0.094000	0.231022	3.793527
0.095000	0.152651	3.106555
0.096000	-0.080789	-1.020718
0.097000	0.307720	5.859099
0.098000	0.152651	3.111189
0.099000	-0.003254	-1.020718
0.100000	0.386091	7.233436
0.101000	-0.314228	-2.730626
0.102000	0.308556	2.765195
0.103000	0.619531	9.645001
0.104000	-0.080789	-0.669688
0.105000	0.075117	2.424216
0.106000	0.308556	4.485144
0.107000	0.074280	-0.324075
0.108000	0.230186	2.424598
0.109000	0.230186	4.826123
0.110000	-0.003254	1.395492
0.111000	0.074280	2.423824
0.112000	0.230186	4.485144
0.113000	0.386091	5.172508
0.114000	-0.470970	-4.104962
0.115000	0.152651	4.485144
0.116000	0.308556	3.452167
0.117000	-0.003254	0.017295
0.118000	0.776272	9.985980
0.119000	-0.003254	-0.324457
0.120000	-0.315901	-3.763602
0.121000	0.464462	8.257134
0.122000	-0.159159	-1.361696
0.123000	0.152651	3.106163
0.124000	0.307720	6.541819
0.125000	-0.003254	-1.361696
0.126000	0.230186	3.452167
0.127000	0.230186	3.452167
0.128000	0.231022	2.419191
0.129000	0.230186	4.139140
0.130000	0.230186	3.797780
0.131000	0.308556	4.485144
0.132000	-0.314228	-3.417598
0.133000	0.230186	4.826504
0.134000	0.151815	3.452167
0.135000	0.152651	0.699242
0.136000	0.308556	5.859099
0.137000	0.308556	3.452167
0.138000	-0.159159	-2.731018
0.139000	0.853807	12.047299
0.140000	-0.159159	-2.394673
0.141000	-0.081625	-2.389266
0.142000	0.386091	7.920027
0.143000	0.230186	2.764803
0.144000	0.152651	3.452167
0.145000	0.152651	2.765576
