BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	194	194
Contact period end (sample #):	7999	7999
Contact period start time (s):	0.194000	0.194000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	703.599976	703.599976
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.190120	-1.709855
0.001000	-0.111750	-0.335519
0.002000	0.433501	5.155668
0.003000	-0.345189	-4.808012
0.004000	-0.112586	0.005841
0.005000	0.278432	2.748737
0.006000	-0.345189	-3.775025
0.007000	0.043319	2.407758
0.008000	-0.112586	0.342186
0.009000	-0.346026	-4.462399
0.010000	0.198388	6.192887
0.011000	-0.423560	-5.149372
0.012000	-0.034215	-1.027114
0.013000	0.200061	4.123073
0.014000	0.200061	2.407377
0.015000	-0.034215	1.374781
0.016000	-0.346026	-3.087671
0.017000	-0.190120	-2.055076
0.018000	-0.034215	0.000826
0.019000	-0.190120	0.006233
0.020000	-0.423560	-3.429031
0.021000	-0.034215	0.346439
0.022000	-0.346026	-2.751347
0.023000	0.043319	2.061754
0.024000	-1.203086	-11.677396
0.025000	-0.423560	-3.083418
0.026000	0.122526	0.688190
0.027000	-0.189284	-3.434448
0.028000	0.433501	4.123454
0.029000	-0.189284	-3.780061
0.030000	-0.189284	-3.780061
0.031000	0.122526	2.062135
0.032000	-0.423560	-5.840607
0.033000	-0.189284	-1.718360
0.034000	-0.267655	0.005841
0.035000	0.122526	-1.719123
0.036000	-0.111750	0.342186
0.037000	-0.190120	-1.718360
0.038000	-0.111750	0.687798
0.039000	0.044992	0.342186
0.040000	0.278432	3.782095
0.041000	0.200897	2.407758
0.042000	-0.345189	-5.500010
0.043000	0.122526	1.720394
0.044000	0.667777	6.534649
0.045000	0.044992	-2.060483
0.046000	0.278432	4.123454
0.047000	0.044992	0.346830
0.048000	-0.111750	-1.718731
0.049000	0.511035	7.216585
0.050000	-0.189284	-3.780061
0.051000	0.200897	0.687809
0.052000	-0.111750	0.693206
0.053000	0.511871	3.090096
0.054000	-0.267655	-2.059339
0.055000	-0.111750	0.346830
0.056000	-0.034215	0.346830
0.057000	0.122526	0.687798
0.058000	-0.034215	1.725419
0.059000	0.433501	4.469077
0.060000	-0.190120	-3.083800
0.061000	-0.267655	-0.349039
0.062000	-0.034215	1.375163
0.063000	-0.111750	-2.060483
0.064000	0.278432	4.464433
0.065000	0.745311	6.520727
0.066000	0.044992	-3.429031
0.067000	0.433501	5.497028
0.068000	0.122526	0.687809
0.069000	0.044992	-1.373119
0.070000	0.666940	8.590933
0.071000	-0.034215	-1.709855
0.072000	0.433501	3.094349
0.073000	-0.111750	1.033421
0.074000	0.433501	3.089715
0.075000	-0.190120	1.033803
0.076000	0.122526	2.753370
0.077000	0.200061	2.407758
0.078000	-0.034215	0.346830
0.079000	0.200061	3.094741
0.080000	0.511871	5.842641
0.081000	0.122526	-1.373119
0.082000	-0.190120	-0.335519
0.083000	0.433501	4.123073
0.084000	-0.891276	-7.214944
0.085000	0.511035	6.876390
0.086000	-0.034215	-0.345178
0.087000	-0.032543	-1.719123
0.088000	0.200061	3.436482
0.089000	0.122526	2.066398
0.090000	0.433501	2.748737
0.091000	0.200061	4.123073
0.092000	0.278432	2.407377
0.093000	0.278432	2.748737
0.094000	0.122526	-0.349039
0.095000	0.278432	3.781713
0.096000	-0.111750	0.342186
0.097000	0.122526	1.024525
0.098000	0.667777	5.842641
0.099000	-0.266819	-3.775025
0.100000	0.278432	2.407758
0.101000	0.356802	3.440735
0.102000	0.200897	0.005089
0.103000	0.433501	4.814690
0.104000	0.667777	5.151034
0.105000	0.123363	-0.686136
0.106000	0.511871	7.558729
0.107000	-0.111750	0.341805
0.108000	0.123363	0.000826
0.109000	0.122526	3.782095
0.110000	0.122526	1.375163
0.111000	0.666940	5.151034
0.112000	0.044992	0.687798
0.113000	-0.111750	-1.027135
0.114000	-0.267655	-1.373119
0.115000	-0.267655	-1.718360
0.116000	0.667777	5.155658
0.117000	-0.345189	-4.125673
0.118000	-0.034215	1.370529
0.119000	0.433501	5.156050
0.120000	-0.267655	-4.121421
0.121000	0.589406	7.899708
0.122000	0.667777	4.814690
0.123000	-0.111750	-1.719123
0.124000	-0.034215	2.408139
0.125000	0.356802	3.090488
0.126000	0.044992	-0.690399
0.127000	0.278432	5.848058
0.128000	0.122526	1.028777
0.129000	0.278432	3.090096
0.130000	0.044992	0.346830
0.131000	-0.111750	0.000826
0.132000	0.822846	8.249573
0.133000	0.200061	2.407758
0.134000	1.057958	9.623920
0.135000	-0.267655	-3.088052
0.136000	0.200061	2.407758
0.137000	0.511871	5.842641
0.138000	-0.267655	-4.121421
0.139000	-0.034215	1.379807
0.140000	-0.034215	3.099375
0.141000	0.122526	0.687809
0.142000	0.043319	3.782095
0.143000	-0.190120	-3.093088
0.144000	-0.657000	-6.527971
0.145000	-0.111750	1.375163
