BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	240	240
Contact period end (sample #):	3291	3291
Contact period start time (s):	0.240000	0.240000
Contact period end time (s):	3.291000	3.291000
First sample time (s):	0.000000	0.000000
Normalized force (N):	703.599976	703.599976
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.488397	-2.046744
0.001000	-0.332492	1.393546
0.002000	-0.332492	1.052186
0.003000	-0.721001	-3.761678
0.004000	-0.175750	1.734524
0.005000	-0.175750	1.047160
0.006000	-0.565932	-5.140267
0.007000	-0.019845	3.800096
0.008000	-0.175750	1.388520
0.009000	-0.565932	-3.761678
0.010000	-0.019845	5.174433
0.011000	-0.644302	-5.486271
0.012000	-0.565932	-3.761678
0.013000	-0.410026	3.113495
0.014000	-0.487561	-3.761678
0.015000	-0.410026	-2.046744
0.016000	-0.019845	5.515793
0.017000	-0.487561	-2.392356
0.018000	-0.410026	0.697295
0.019000	-0.410026	0.356317
0.020000	-0.487561	-3.761678
0.021000	-0.332492	0.701940
0.022000	-0.019845	2.767501
0.023000	-0.097380	1.734524
0.024000	-0.565932	-2.051388
0.025000	-0.175750	1.393164
0.026000	-0.487561	-0.667763
0.027000	-0.799371	-6.163584
0.028000	-0.332492	0.014957
0.029000	-0.098216	2.080137
0.030000	-0.487561	-3.421081
0.031000	0.057689	5.515411
0.032000	-0.174914	0.355935
0.033000	-0.565932	-3.761678
0.034000	0.057689	6.198513
0.035000	-0.642630	-4.107290
0.036000	-0.488397	-3.079721
0.037000	-0.097380	3.449839
0.038000	-0.410026	-1.705384
0.039000	-0.175750	2.075884
0.040000	-0.098216	2.075503
0.041000	-0.410026	-1.354735
0.042000	-0.175750	-0.667000
0.043000	-0.098216	0.701940
0.044000	-0.175750	1.734524
0.045000	-0.487561	-2.046744
0.046000	-0.332492	1.734524
0.047000	-0.098216	3.454092
0.048000	-0.565932	-4.107290
0.049000	-0.332492	0.697295
0.050000	-0.098216	2.767501
0.051000	-0.799371	-7.200813
0.052000	-0.098216	2.762857
0.053000	-0.175750	1.734524
0.054000	-0.253285	-2.392748
0.055000	-0.019845	4.828429
0.056000	-0.565932	-4.107290
0.057000	-0.721001	-4.794273
0.058000	-0.019845	4.482424
0.059000	-0.410026	0.014957
0.060000	-0.175750	1.047160
0.061000	-0.097380	3.113505
0.062000	-0.175750	-1.364405
0.063000	-0.098216	2.080137
0.064000	-0.565932	-1.705384
0.065000	-0.098216	2.080529
0.066000	-0.332492	1.047160
0.067000	-0.175750	1.393164
0.068000	-0.019845	2.762475
0.069000	-0.488397	-3.420318
0.070000	-0.175750	2.421115
0.071000	0.057689	4.141456
0.072000	-0.565932	-4.794654
0.073000	-0.410026	0.360961
0.074000	0.058526	4.828047
0.075000	-0.487561	-3.415673
0.076000	-0.098216	3.454473
0.077000	-0.410026	-1.013375
0.078000	-0.565932	-3.420318
0.079000	0.136060	5.169407
0.080000	-0.410026	-2.387341
0.081000	-0.565932	-3.074313
0.082000	-0.175750	2.767501
0.083000	-0.019845	2.080137
0.084000	-0.097380	1.393546
0.085000	-0.487561	0.014957
0.086000	-0.175750	1.734524
0.087000	-0.253285	0.014957
0.088000	-0.332492	-0.672397
0.089000	0.057689	4.482435
0.090000	-0.487561	-1.349720
0.091000	-0.410026	0.701940
0.092000	-0.020681	3.454473
0.093000	-0.721001	-4.107290
0.094000	-0.332492	-1.705765
0.095000	0.136060	7.576720
0.096000	-0.644302	-4.107290
0.097000	-0.175750	2.421497
0.098000	-0.097380	2.767501
0.099000	-0.330819	-2.738361
0.100000	-0.097380	3.795452
0.101000	-0.175750	0.355935
0.102000	-0.487561	-2.738361
0.103000	-0.487561	0.014957
0.104000	-0.098216	2.080518
0.105000	-0.253285	0.014957
0.106000	-0.565932	-1.359009
0.107000	-0.254957	1.393546
0.108000	-0.253285	1.734524
0.109000	-0.721001	-4.107290
0.110000	0.057689	5.169789
0.111000	-0.019845	2.075884
0.112000	-0.410026	-2.046744
0.113000	0.057689	5.515411
0.114000	-0.565932	-4.453294
0.115000	-0.487561	-2.046744
0.116000	0.214431	7.913446
0.117000	-0.642630	-4.794654
0.118000	-0.410026	-2.732953
0.119000	0.058526	5.515411
0.120000	-0.487561	-2.046744
0.121000	-0.410026	0.360961
0.122000	-0.410026	-0.667000
0.123000	-0.642630	-4.452902
0.124000	-0.175750	1.052186
0.125000	-0.019845	3.795452
0.126000	-0.175750	1.047160
0.127000	-0.253285	1.047160
0.128000	-0.019845	2.421115
0.129000	0.057689	3.800096
0.130000	-0.876906	-6.509969
0.131000	0.369500	6.207028
0.132000	-0.019845	3.108871
0.133000	-0.410026	-2.392356
0.134000	0.136060	5.511159
0.135000	-0.253285	-0.667763
0.136000	-0.253285	-1.013757
0.137000	0.369500	7.917699
0.138000	-0.410026	-1.705765
0.139000	-0.487561	-3.079721
0.140000	-0.098216	5.856771
0.141000	-0.253285	-1.013375
