BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	3134	3134
Contact period end (sample #):	7999	7999
Contact period start time (s):	3.134000	3.134000
Contact period end time (s):	7.999000	7.999000
First sample time (s):	0.000000	0.000000
Normalized force (N):	703.599976	703.599976
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.279120	-5.705981
0.001000	0.499570	5.982282
0.002000	-0.044844	-1.575229
0.003000	-0.200749	-1.574837
0.004000	0.110225	1.855782
0.005000	0.032690	-1.579482
0.006000	0.032690	1.168429
0.007000	-0.045680	-1.233477
0.008000	0.110225	-0.201274
0.009000	0.031854	0.827450
0.010000	-0.045680	0.827831
0.011000	0.110225	1.860427
0.012000	-0.124051	-3.294024
0.013000	-0.124051	0.140859
0.014000	0.266130	3.234382
0.015000	-0.200749	-6.388320
0.016000	0.110225	1.855782
0.017000	0.031854	0.135833
0.018000	-0.045680	-1.233477
0.019000	0.266130	4.608719
0.020000	-0.045680	-1.574837
0.021000	-0.201586	-5.014364
0.022000	0.421199	5.640922
0.023000	-0.123215	-1.574837
0.024000	0.032690	-0.887865
0.025000	-0.045680	0.481838
0.026000	-0.123215	-3.645435
0.027000	0.032690	0.481838
0.028000	0.031854	0.827450
0.029000	0.031854	0.827450
0.030000	0.188596	0.481838
0.031000	-0.045680	0.140859
0.032000	-0.045680	-0.205145
0.033000	-0.902741	-7.762275
0.034000	-0.123215	-0.209779
0.035000	0.110225	1.514814
0.036000	-0.355818	-5.700955
0.037000	0.032690	2.547399
0.038000	-0.514232	-4.673005
0.039000	-0.435862	-5.700955
0.040000	0.188596	3.921354
0.041000	-0.435862	-5.701347
0.042000	-0.200749	-3.635384
0.043000	-0.045680	1.169191
0.044000	-0.201586	-2.948019
0.045000	-0.123215	-2.270707
0.046000	-0.201586	-3.294024
0.047000	-0.981112	-11.197157
0.048000	-0.123215	-1.233477
0.049000	0.031854	-0.541098
0.050000	0.110225	1.168810
0.051000	-0.590931	-5.701347
0.052000	-0.124051	-1.915435
0.053000	-0.045680	-1.232715
0.054000	-0.746836	-8.108279
0.055000	-0.124051	-0.195486
0.056000	-0.123215	-2.606659
0.057000	-0.435862	-6.046960
0.058000	0.188596	3.917102
0.059000	-0.358327	-5.359977
0.060000	-0.201586	-5.355343
0.061000	0.110225	3.580768
0.062000	-0.201586	-5.360369
0.063000	-0.279120	-3.294024
0.064000	-0.123215	0.482219
0.065000	-0.279120	-4.673005
0.066000	-0.279120	-4.327011
0.067000	-0.045680	-0.887102
0.068000	-0.279120	-4.673396
0.069000	-0.435862	-4.327392
0.070000	0.032690	1.514814
0.071000	0.032690	-0.205145
0.072000	-0.590931	-6.388320
0.073000	-0.045680	0.140859
0.074000	-0.123215	-0.887865
0.075000	-0.590931	-6.388320
0.076000	0.187759	3.576123
0.077000	-0.279120	-5.701347
0.078000	-0.590931	-6.388320
0.079000	0.421199	3.917102
0.080000	-0.434189	-6.042707
0.081000	-0.279120	-3.976362
0.082000	-0.123215	1.860808
0.083000	-0.279120	-5.355343
0.084000	-0.279120	-2.952664
0.085000	-0.279120	-3.986032
0.086000	-0.434189	-5.014364
0.087000	-0.201586	-1.233477
0.088000	0.032690	1.168810
0.089000	-0.045680	-1.915435
0.090000	-0.669301	-6.729298
0.091000	0.110225	1.173836
0.092000	-0.590931	-4.327011
0.093000	-0.746836	-7.420915
0.094000	-0.044844	0.136215
0.095000	-0.200749	-2.952664
0.096000	-0.279120	-6.046960
0.097000	0.266130	7.015269
0.098000	-0.123215	-5.705981
0.099000	-0.123215	-3.294024
0.100000	0.031854	2.547399
0.101000	-0.435862	-5.355343
0.102000	-0.045680	0.827450
0.103000	-0.201586	-0.195486
0.104000	-0.279120	-5.701337
0.105000	-0.200749	-2.602799
0.106000	-0.123215	-0.550758
0.107000	-0.122378	-3.294024
0.108000	-0.201586	-0.887473
0.109000	0.110225	0.827831
0.110000	0.031854	-1.224210
0.111000	-0.590931	-7.416270
0.112000	0.188596	2.201787
0.113000	-0.435862	-5.355343
0.114000	-0.435862	-4.327011
0.115000	0.110225	2.543147
0.116000	-0.434189	-5.701347
0.117000	-0.435862	-4.331645
0.118000	0.421199	6.674290
0.119000	-0.201586	-3.641574
0.120000	-0.045680	-1.569822
0.121000	0.031854	1.173836
0.122000	-0.590931	-7.416662
0.123000	0.110225	2.884125
0.124000	-0.279120	-3.294024
0.125000	-0.434189	-5.359987
0.126000	-0.279120	0.135833
0.127000	-0.045680	0.135833
0.128000	-0.124051	-1.915826
0.129000	-0.201586	-2.602799
0.130000	-0.045680	-0.541098
0.131000	-0.123215	-1.569822
0.132000	-0.201586	-4.327392
0.133000	0.266130	3.575742
0.134000	-0.123215	-2.602799
0.135000	-0.123215	-2.261439
0.136000	0.187759	2.543147
0.137000	-0.746836	-8.444995
0.138000	-0.124051	-0.887865
0.139000	0.031854	2.206421
0.140000	-0.435862	-2.944159
