BioWare Version 5.3.0.7 Export
Device:	 9286AA	 9286AA
Samples (#):	8000	8000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	48	48
Contact period end (sample #):	3525	3525
Contact period start time (s):	0.048000	0.048000
Contact period end time (s):	3.525000	3.525000
First sample time (s):	0.000000	0.000000
Normalized force (N):	703.599976	703.599976
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.034520	3.205611
0.001000	0.042178	2.864632
0.002000	0.042178	3.547352
0.003000	0.120549	4.229309
0.004000	-0.112891	1.486425
0.005000	0.042178	3.546971
0.006000	0.277290	5.266920
0.007000	-0.267960	-2.299870
0.008000	-0.034520	4.234335
0.009000	0.277290	6.290618
0.010000	-0.190425	-1.607861
0.011000	0.354825	6.636622
0.012000	0.277290	4.579947
0.013000	-0.268796	-0.233524
0.014000	0.354825	8.696777
0.015000	-0.268796	0.457700
0.016000	-0.268796	0.457700
0.017000	0.354825	8.706828
0.018000	0.120549	3.892583
0.019000	0.120549	4.921307
0.020000	-0.190425	2.855354
0.021000	0.120549	3.205992
0.022000	0.120549	3.888331
0.023000	0.122221	4.234335
0.024000	0.433196	5.953902
0.025000	0.277290	4.233954
0.026000	-0.190425	1.832037
0.027000	0.510730	9.388785
0.028000	-0.423865	-1.954257
0.029000	0.354825	5.267312
0.030000	0.432359	7.323595
0.031000	-0.190425	-0.925141
0.032000	0.510730	8.361608
0.033000	0.120549	3.205992
0.034000	-0.190425	0.799060
0.035000	0.198083	6.982235
0.036000	-0.112891	1.832037
0.037000	-0.190425	1.140039
0.038000	0.354825	8.015603
0.039000	-0.191262	2.859988
0.040000	0.277290	5.267312
0.041000	-0.423865	-0.233524
0.042000	0.354825	5.607898
0.043000	0.042178	3.546971
0.044000	0.277290	4.234335
0.045000	0.120549	4.580329
0.046000	0.120549	2.855354
0.047000	-0.034520	2.855354
0.048000	0.589101	11.104100
0.049000	-0.423865	-1.607861
0.050000	-0.034520	3.888331
0.051000	0.433196	9.038920
0.052000	-0.190425	-0.921270
0.053000	0.354825	7.323595
0.054000	0.120549	4.575695
0.055000	-0.268796	-0.233524
0.056000	0.354825	8.010588
0.057000	-0.034520	3.546971
0.058000	0.120549	2.519020
0.059000	0.354825	7.669991
0.060000	0.277290	4.925952
0.061000	0.198083	5.262286
0.062000	-0.423865	-1.603227
0.063000	0.510730	6.636622
0.064000	-0.191262	2.514375
0.065000	-0.112891	3.205992
0.066000	0.666635	10.076150
0.067000	-0.191262	0.803705
0.068000	-0.112891	2.513994
0.069000	0.432359	10.762740
0.070000	-0.658141	-4.014803
0.071000	-0.190425	2.860380
0.072000	0.588265	8.706828
0.073000	-0.112055	0.794818
0.074000	0.510730	8.005552
0.075000	0.120549	4.579566
0.076000	-0.112055	1.486043
0.077000	-0.112891	3.892975
0.078000	0.277290	5.262286
0.079000	-0.268796	1.136178
0.080000	-0.034520	4.234335
0.081000	0.354825	5.953902
0.082000	0.120549	4.579947
0.083000	-0.658141	-3.327820
0.084000	0.666635	8.697179
0.085000	0.277290	4.574922
0.086000	-0.268796	0.457700
0.087000	0.509894	9.739805
0.088000	-0.190425	0.107454
0.089000	-0.190425	0.457700
0.090000	0.510730	10.762740
0.091000	-0.346331	-1.603227
0.092000	-0.268796	0.453056
0.093000	0.432359	8.015603
0.094000	-0.502236	-2.640848
0.095000	-0.268796	2.865014
0.096000	-0.112891	3.201358
0.097000	-0.346331	-0.920507
0.098000	-0.347167	1.140420
0.099000	-0.034520	3.888331
0.100000	-0.112891	3.196333
0.101000	-0.503072	-1.266120
0.102000	0.120549	3.892965
0.103000	-0.112055	1.832037
0.104000	-0.579771	-4.015185
0.105000	0.198083	4.579947
0.106000	-0.268796	1.832037
0.107000	-0.502236	-3.323187
0.108000	0.277290	8.015603
0.109000	-0.346331	-2.982208
0.110000	-0.346331	-1.607861
0.111000	0.120549	7.323595
0.112000	-0.190425	1.140039
0.113000	-0.658141	-2.982208
0.114000	0.122221	5.612924
0.115000	-0.580607	-3.668799
0.116000	0.120549	3.893356
0.117000	-0.268796	1.832037
0.118000	-0.034520	1.481399
0.119000	-0.502236	-2.981827
0.120000	-0.190425	2.864632
0.121000	-0.268796	2.173016
0.122000	-0.580607	-3.327820
0.123000	-0.191262	2.860380
0.124000	-0.034520	3.201348
0.125000	-0.502236	-3.669180
0.126000	-0.034520	4.921307
0.127000	-0.112891	3.547352
0.128000	-0.502236	-3.327439
0.129000	0.354825	9.394192
0.130000	-0.658141	-4.701776
0.131000	-0.424702	-1.266120
0.132000	0.198083	8.015603
0.133000	-0.424702	-1.948840
0.134000	0.120549	2.173016
0.135000	-0.034520	3.206374
0.136000	-0.346331	-1.271537
0.137000	-0.034520	3.546971
0.138000	-0.424702	1.140420
0.139000	-0.190425	1.140039
0.140000	-0.346331	-0.574503
0.141000	0.277290	3.892965
0.142000	-0.112891	4.233943
0.143000	-0.502236	-2.641230
0.144000	-0.034520	3.546971
0.145000	-0.034520	3.546971
