BioWare Version 5.3.2.9 Export
Device:	 9286AA	 9286AA
Samples (#):	30000	30000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	1861	1861
Contact period end (sample #):	24851	24851
Contact period start time (s):	1.861000	1.861000
Contact period end time (s):	24.851000	24.851000
First sample time (s):	0.000000	0.000000
Normalized force (N):	0.000000	0.000000
Normalized length (m):	1.000000	1.000000
abs time (s)	Fy	Fz
	N	N
0.000000	-0.653577	-5.089126
0.001000	-0.496836	-4.407179
0.002000	-0.029120	-0.967260
0.003000	-0.030792	1.434646
0.004000	0.281854	4.870302
0.005000	-0.264232	-5.094151
0.006000	-0.341767	-3.032832
0.007000	-0.108327	0.752689
0.008000	-0.341767	-4.748147
0.009000	-0.264232	-1.653851
0.010000	-0.108327	-0.279515
0.011000	0.125949	0.752689
0.012000	-0.341767	-5.094151
0.013000	-0.030792	1.094049
0.014000	0.204320	3.836933
0.015000	-0.029120	-1.654233
0.016000	0.281854	2.467622
0.017000	0.204320	2.462989
0.018000	-0.185861	-3.374192
0.019000	0.048415	-1.312873
0.020000	0.204320	2.126263
0.021000	0.360225	4.528931
0.022000	-0.186698	-4.748147
0.023000	0.125949	1.439661
0.024000	0.281854	3.495573
0.025000	-0.108327	-0.276035
0.026000	0.281854	2.467622
0.027000	0.204320	2.813235
0.028000	0.204320	0.751926
0.029000	-0.185861	-1.654233
0.030000	-0.108327	0.752689
0.031000	0.593665	6.243865
0.032000	-0.341767	-4.061556
0.033000	0.125949	3.154595
0.034000	-0.030792	1.088642
0.035000	-0.185861	-2.687220
0.036000	-0.029120	0.410566
0.037000	0.203484	2.467231
0.038000	0.515294	4.523524
0.039000	-0.185861	-3.374192
0.040000	0.125949	2.122010
0.041000	0.436923	4.187190
0.042000	-0.185861	-2.346241
0.043000	0.281854	3.841959
0.044000	0.048415	1.434646
0.045000	0.048415	-0.967260
0.046000	-0.185861	-3.374584
0.047000	0.281854	3.500599
0.048000	0.515294	4.523916
0.049000	-0.263396	-3.374192
0.050000	0.125949	2.808982
0.051000	0.281854	2.808982
0.052000	0.125949	0.060701
0.053000	0.281854	4.869910
0.054000	0.281854	2.813235
0.055000	0.125949	0.061464
0.056000	-0.420137	-5.094533
0.057000	0.204320	2.808982
0.058000	0.125949	2.467622
0.059000	-0.341767	-3.374192
0.060000	0.360225	4.182938
0.061000	0.048415	0.407468
0.062000	-0.108327	-1.654233
0.063000	-0.030792	1.434646
0.064000	0.204320	2.808982
0.065000	0.281854	3.495573
0.066000	-0.263396	-4.407169
0.067000	0.281854	4.187190
0.068000	0.360225	3.154595
0.069000	-0.108327	-3.369939
0.070000	0.360225	5.215914
0.071000	0.048415	1.094049
0.072000	-0.029120	-0.276035
0.073000	-0.418465	-3.720196
0.074000	0.125949	2.467622
0.075000	0.360225	3.841578
0.076000	-0.029120	-1.308620
0.077000	0.281854	4.874554
0.078000	0.126785	1.780258
0.079000	-0.108327	-2.346241
0.080000	0.281854	4.524298
0.081000	0.281854	3.495965
0.082000	0.204320	2.121618
0.083000	-0.341767	-5.098785
0.084000	0.204320	4.182938
0.085000	0.126785	1.434646
0.086000	-0.108327	-2.687601
0.087000	0.436923	5.215914
0.088000	0.204320	0.752689
0.089000	0.048415	-1.308620
0.090000	0.125949	2.122010
0.091000	0.281854	3.154595
0.092000	0.125949	2.808982
0.093000	-0.341767	-5.089507
0.094000	0.360225	4.874554
0.095000	-0.185861	-1.659269
0.096000	-0.185861	-2.346241
0.097000	0.204320	4.528942
0.098000	0.281854	2.813235
0.099000	0.126785	1.434646
0.100000	-0.264232	-3.033214
0.101000	0.125949	2.813235
0.102000	0.048415	2.121618
0.103000	-0.263396	-3.374584
0.104000	0.515294	5.215914
0.105000	-0.185861	-1.654233
0.106000	0.125949	-0.962616
0.107000	0.203484	3.841578
0.108000	0.125949	2.808982
0.109000	0.204320	2.122010
0.110000	-0.341767	-4.753173
0.111000	0.125949	2.131278
0.112000	0.204320	2.121618
0.113000	-0.264232	-4.061556
0.114000	0.593665	6.589478
0.115000	0.125949	1.780650
0.116000	0.126785	0.069969
0.117000	-0.185861	1.434646
0.118000	0.125949	2.467622
0.119000	0.125949	1.780650
0.120000	-0.185861	-3.720196
0.121000	0.281854	5.561145
0.122000	0.125949	0.060701
0.123000	-0.185861	-3.720196
0.124000	0.360225	5.556893
0.125000	0.125949	1.434646
0.126000	0.204320	2.467231
0.127000	-0.185861	-3.028580
0.128000	0.360225	4.187572
0.129000	0.204320	2.467622
0.130000	-0.185861	-3.374192
0.131000	0.360225	5.902887
0.132000	-0.341767	-3.715552
0.133000	-0.185861	-2.004881
0.134000	0.281854	4.528942
0.135000	0.281854	2.467622
0.136000	0.204320	2.808601
0.137000	-0.108327	-0.967260
0.138000	0.515294	4.869529
0.139000	-0.108327	-1.308620
0.140000	-0.185861	-4.402916
0.141000	0.281854	5.556893
0.142000	-0.185861	-3.033605
0.143000	-0.185861	-2.687220
0.144000	-0.341767	-2.687220
0.145000	-0.029120	0.061464
0.146000	0.048415	-0.284540
0.147000	-0.185861	-1.995211
0.148000	0.204320	4.182546
0.149000	-0.341767	-5.089507
0.150000	-0.496836	-4.748147
0.151000	0.125949	3.841959
0.152000	-0.264232	-4.061175
0.153000	0.048415	0.406685
0.154000	-0.341767	-4.061556
0.155000	0.204320	2.127025
0.156000	-0.264232	-2.687220
0.157000	-0.341767	-3.720196
0.158000	0.125949	3.154595
0.159000	-0.263396	-4.065809
0.160000	-0.264232	-3.028580
0.161000	0.125949	3.154595
0.162000	-0.264232	-3.715944
0.163000	0.125949	2.126263
0.164000	0.204320	2.121237
0.165000	0.281854	3.495955
0.166000	-0.652741	-6.127128
0.167000	-0.263396	-3.374192
0.168000	0.204320	4.187572
0.169000	-0.185861	-3.715552
0.170000	-0.341767	-4.061175
0.171000	-0.264232	-3.028198
0.172000	-0.030792	-0.967260
0.173000	0.048415	-0.279515
0.174000	0.048415	-0.967260
0.175000	0.281854	5.215914
0.176000	-0.575206	-7.159713
0.177000	-0.496836	-3.033224
0.178000	0.281854	4.874554
0.179000	-0.341767	-5.089126
0.180000	-0.108327	-1.308239
0.181000	-0.029120	-1.659269
0.182000	-0.264232	-1.995211
0.183000	-0.185861	-2.346241
0.184000	-0.264232	-2.687220
0.185000	0.281854	5.902505
0.186000	-0.341767	-4.061556
0.187000	-0.185861	-0.967260
0.188000	0.048415	0.752689
0.189000	-0.185861	-3.369939
0.190000	-0.108327	-1.649599
0.191000	0.048415	0.752689
0.192000	0.125949	2.813235
0.193000	-0.575206	-5.781124
0.194000	-0.341767	-3.028580
0.195000	0.360225	4.187572
0.196000	-0.341767	-3.720196
0.197000	-0.108327	0.069969
0.198000	-0.185861	-2.687220
0.199000	-0.185861	-1.995211
0.200000	0.048415	0.751926
0.201000	-0.185861	0.406685
0.202000	-0.108327	1.098683
0.203000	-0.575206	-5.435511
0.204000	-0.108327	-0.617014
0.205000	0.125949	3.154595
0.206000	-0.341767	-5.435511
0.207000	-0.185861	-2.341607
0.208000	0.048415	0.752689
0.209000	0.048415	-0.276035
0.210000	-0.496836	-4.402535
0.211000	-0.185861	-2.000247
0.212000	0.436923	4.879188
0.213000	-0.263396	-3.715944
0.214000	-0.108327	2.121618
0.215000	-0.108327	-0.625519
0.216000	-0.263396	-3.720196
0.217000	0.048415	-0.967260
0.218000	-0.185861	0.748044
0.219000	0.204320	1.434646
0.220000	-0.652741	-6.809467
0.221000	-0.108327	-2.345860
0.222000	0.204320	4.533576
0.223000	-0.185861	-3.369558
0.224000	-0.030792	1.094049
0.225000	-0.108327	-2.687220
0.226000	-0.185861	-1.654233
0.227000	-0.264232	-2.687220
0.228000	-0.185861	-1.308239
0.229000	0.125949	1.780650
0.230000	-0.575206	-6.122102
0.231000	-0.185861	0.752297
0.232000	0.203484	3.500599
0.233000	-0.341767	-5.435511
0.234000	-0.029120	0.402824
0.235000	0.125949	0.752689
0.236000	0.204320	1.439661
0.237000	-0.264232	-4.402535
0.238000	-0.185861	-1.649599
0.239000	0.125949	2.131278
0.240000	-0.341767	-3.374192
0.241000	-0.108327	1.098683
0.242000	-0.029120	-0.625519
0.243000	-0.341767	-5.435511
0.244000	-0.185861	-0.276035
0.245000	0.125949	1.444305
0.246000	0.048415	1.098301
0.247000	-0.731112	-9.216007
0.248000	0.125949	2.808591
0.249000	0.203484	3.154595
0.250000	-0.185861	-3.720196
0.251000	0.204320	3.154595
0.252000	0.125949	1.434646
0.253000	-0.341767	-2.004881
0.254000	-0.341767	-4.061175
0.255000	-0.341767	-1.994830
0.256000	0.048415	-0.276035
0.257000	-0.341767	-4.743895
0.258000	0.125949	3.500599
0.259000	0.125949	0.752689
0.260000	-0.341767	-4.061556
0.261000	-0.108327	1.098301
0.262000	0.125949	3.841578
0.263000	-0.108327	0.752689
0.264000	-0.731112	-7.846696
0.265000	0.048415	0.752689
0.266000	0.125949	0.752689
0.267000	-0.185861	-1.995211
0.268000	0.203484	4.528550
0.269000	-0.108327	-0.617014
0.270000	0.204320	-1.308620
0.271000	0.048415	0.752689
0.272000	0.204320	2.462597
0.273000	0.204320	2.813627
0.274000	-0.263396	-5.094533
0.275000	0.515294	5.215914
0.276000	0.204320	1.444305
0.277000	-0.108327	-2.346241
0.278000	0.125949	3.495573
0.279000	0.360225	2.121618
0.280000	0.281854	1.776006
0.281000	-0.185861	-2.000629
0.282000	0.048415	-0.621256
0.283000	0.125949	2.808982
0.284000	-0.029120	-3.720196
0.285000	0.436923	6.589869
0.286000	0.048415	-1.995211
0.287000	0.048415	-1.654233
0.288000	0.281854	3.495573
0.289000	0.281854	3.154595
0.290000	0.204320	1.098693
0.291000	-0.341767	-4.753173
0.292000	0.048415	2.126263
0.293000	0.125949	3.154595
0.294000	-0.185861	-3.028580
0.295000	0.360225	6.248510
0.296000	0.125949	-1.303594
0.297000	0.126785	-1.308620
